Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,99.2182179460985,102.93494222290046,95.5207056363064,102.74286651611328,6420100,0.0,0,6087457.460004969,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6580312212168289,,,,,0.0,,,,,,,,,,,,-920838.0780386806,,
2020-03-16,87.56864523394458,99.19900653775488,85.7246921966177,86.40657043457031,5318400,0.0,0,1307341.0607749848,0.0,,,,,,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.06842896758790802,,,,,0.0,,,,,,,,,,,,-1768963.0935290416,,
2020-03-17,87.68390121293851,92.38022332773835,84.07282076547381,92.19774627685547,4486800,0.0,0,5597030.585926845,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.43492330237625965,,,,,1.0,,,,,,,,,,,,-544918.823021927,,
2020-03-18,85.26370094672188,87.57825190810934,77.82065418593291,84.0632095336914,5107400,0.0,0,7024687.28552405,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.14965464170491075,,,,,0.0,,,,,,,,,,,,-149905.8911674947,,
2020-03-19,82.04639040561777,92.67794271168269,81.22045167713928,88.75953674316406,3370800,0.0,0,8089893.015563716,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,0.42757350853351717,,,,,0.0,,,,,,,,,,,,-262306.8057726576,,
2020-03-20,90.35378782498472,91.59269584738146,83.17004395711989,85.9455795288086,3939900,0.0,0,6746641.373200333,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.31023485076186447,,,,,0.0,,,,,,,,,,,,63407.941423102166,,
2020-03-23,82.92995017153638,84.93717574105641,76.26482644112497,77.44610595703125,3848300,0.0,0,3946711.959725967,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.05868534511384461,,,,,0.0,,,,,,,,,,,,-505479.7552577249,,
2020-03-24,83.12202902581916,87.38616957608374,81.30688658115407,86.6082534790039,5137300,0.0,0,7769255.476482341,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,0.433502878652679,,,,,0.0,,,,,,,,,,,,227188.210625222,,
2020-03-25,87.89518313796555,93.32140622649682,83.45817120815288,88.4041976928711,3793100,0.0,0,7780337.983396719,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5275063755001653,,,,,0.0,,,,,,,,,,,,686415.9866023458,,
2020-03-26,88.91319707385273,99.62158185929873,88.40418989108642,98.84365844726562,3735700,0.0,0,10997898.205707341,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,98.84365844726562,,1.0375026242022711,,,,,2.0,,,,,,,,,,,,519796.0190028917,,
2020-03-27,93.6191257437655,99.19900749671653,93.13892917770174,96.1641616821289,2535500,0.0,0,10993876.055063616,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,98.80454033336002,,0.8721392741716827,,,,,0.0,,,,,,,,,,,,372407.3102337881,,
2020-03-30,95.3382286712298,97.65277977434735,93.9456614777287,96.97090148925781,2707400,0.0,0,12705290.968353378,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,98.74476166540158,,0.9051562320404546,,,,,0.0,,,,,,,,,,,,-46020.529929459946,,
2020-03-31,94.81961842575963,96.55792767342525,90.50744792929746,91.9288330078125,3563600,0.0,0,10816020.30420884,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,98.71369658473303,,0.6043114933665291,,,,,0.0,,-10.525337548962394,,,,,,,,,,-162578.92048955322,,
2020-04-01,86.43538610195928,87.16528696955255,83.09321461537407,83.89034271240234,4024600,0.0,0,8367090.606829099,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-16817989.86709198,,98.648253025133,,0.14088698249215656,,42.3278506726732,,,0.0,,-2.912079150361989,39.04558849397806,,,,,,13.946980569144324,,-710197.6190476194,-537213.0549295862,,-71.4080121223616
2020-04-02,83.87113640073332,88.32736007586138,82.45935728352512,87.136474609375,3063500,0.0,0,10187142.791383015,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,-77.29326348875175,-12994773.448025163,,98.5687123563364,0.0,0.3519022317525232,,45.47871941714675,,,0.0,,-5.489582849761055,42.843229852199464,,,,,,14.301696830903902,,-351740.4761904762,-233379.2775939259,-0.15992108026134855,-53.453945235086614
2020-04-03,85.84954339384623,87.51102677315778,80.69222952243396,81.8158950805664,3118600,0.0,0,8096367.283222793,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,24.974057376727938,-13508771.429527638,,98.36709413935938,-0.8615654255969218,0.04024214840359093,,47.66490142041125,,,0.0,,-2.6733626583985073,38.59844154728015,,32.96815999179221,,,,14.41103799659845,,-342945.2380952379,-71880.7074230457,-0.0829300199930798,-76.23356266717515
2020-04-06,86.59865193066534,92.34180641405597,86.0128115003001,91.53507232666016,3169700,0.0,0,10458006.897122398,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,153.37759696151778,-7177964.637174641,,98.05029474784943,11.630152488310017,0.6500215247765445,,55.26571857913532,,,0.0,,3.1270280190031023,48.61397532322821,,45.230258692190525,,,,14.284915110778899,,-533833.3333333335,186116.349304624,0.06966941626801826,-34.62171602116664
2020-04-07,97.33585114352469,99.23743293845071,90.68993183590958,91.1605224609375,2962500,0.0,0,7821713.284210376,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,348.051884681773,-6311055.97146446,,97.94729297330642,15.889870548903417,0.6096771439728216,,63.54264881353177,,,0.0,,6.067726764680061,48.28709363017409,,50.97313376126143,,,,13.592789812008949,,-414292.8571428573,364416.8368240999,0.2658486867257588,-36.22532002787393
2020-04-08,92.07290296861551,96.37546059982641,90.87241141324344,95.55912780761719,2900300,0.0,0,9861541.237906702,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,226.71543338826137,-3587008.6774016665,,97.89314964309158,25.341435860113336,0.8781258888566913,,63.35915524250257,,,0.0,,23.38790521067054,52.34005990606235,,70.58663526720726,,,,13.127137489119113,,-453452.3809523806,127820.80612814876,0.17975009244279994,-17.39305814933768
2020-04-09,97.54713200113581,102.54117345274301,96.9997081984511,101.24464416503906,4331400,0.0,0,12166117.392927647,0.0,,,0.9159655138363054,139.1784948157549,0.15691149911752833,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-2.0369873046875,0.9366220202532293,276.28518496649866,443456.2123038727,,97.92430997194325,30.884673518271285,1.220298996100148,,71.89397677892843,,,0.0,,16.899533356348538,57.02816697609876,,80.48247169117904,,,,12.378608077944916,,-94183.33333333349,397649.8681527432,0.27463993522262187,-4.934206749251291
2020-04-13,100.97573198419629,101.10058045191568,96.44267528842344,96.96128845214844,2802100,0.0,0,9987991.430640459,0.0,,,0.781248166366319,114.65095984361726,0.05276917688154523,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.691552352905276,0.7876460910594827,373.56807869134735,-1334521.9670382263,,97.9189294400315,38.454038465389715,0.9561326686994998,,72.40425430776806,,,0.0,,9.679507288789509,52.813278661983716,,84.04475654472985,,,,10.545490713518332,,-72921.42857142864,139158.48445046245,0.3973689458712063,-25.53846546722154
