Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,6.699999809265137,7.949999809265137,6.699999809265137,7.900000095367432,240900,0,0,221628.11027526855,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6533334096272787,,,,,0.0,,,,,,,,,,,,-16143.534538121254,,
2020-03-16,6.5,7.409999847412109,6.5,6.820000171661377,196700,0,0,163266.66922073514,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.3179013217809222,,,,,0.0,,,,,,,,,,,,-164077.34276611285,,
2020-03-17,6.980000019073486,6.980000019073486,6.385000228881836,6.699999809265137,182500,0,0,174001.7740648414,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.31578935829710303,,,,,1.0,,,,,,,,,,,,-30101.78399889306,,
2020-03-18,6.380000114440918,6.570000171661377,5.300000190734863,5.400000095367432,148800,0,0,48634.822935394375,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.1548654493753298,,,,,0.0,,,,,,,,,,,,-32082.78957066864,,
2020-03-19,5.389999866485596,6.909999847412109,5.389999866485596,5.989999771118164,185300,0,0,9624.275203209967,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.22783276764992005,,,,,0.0,,,,,,,,,,,,-8625.907002291558,,
2020-03-20,6.0,6.559999942779541,5.650000095367432,5.650000095367432,202900,0,0,-193275.72479679005,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.11102505962311773,,,,,0.0,,,,,,,,,,,,8728.878364177033,,
2020-03-23,5.889999866485596,6.119999885559082,5.440000057220459,6.0,130900,0,0,-108575.69239990436,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,,,,,,,,0.3055360743998813,,,,,0.0,,,,,,,,,,,,-3408.0036812925146,,
2020-03-24,6.25,6.429999828338623,5.909999847412109,6.210000038146973,95900,0,0,-93821.77183547587,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.41650339690186805,,,,,0.0,,,,,,,,,,,,11465.34782088096,,
2020-03-25,6.199999809265137,6.429999828338623,6.019999980926514,6.199999809265137,210000,0,0,-119431.63515761321,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.4147550165314402,,,,,0.0,,,,,,,,,,,,3018.3286206199164,,
2020-03-26,6.21999979019165,6.590000152587891,6.119999885559082,6.329999923706055,165000,0,0,-136984.88363427154,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,6.329999923706055,,0.48701422688135243,,,,,0.0,,,,,,,,,,,,3121.508582296583,,
2020-03-27,6.090000152587891,6.670000076293945,5.809999942779541,6.420000076293945,140200,0,0,-78296.49888662648,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,6.33684072554091,,0.5424871996665911,,,,,0.0,,,,,,,,,,,,5453.048903920756,,
2020-03-30,6.480000019073486,7.190000057220459,6.28000020980835,7.170000076293945,139500,0,0,55071.63780112582,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,6.34857853239464,,0.9530972823442225,,,,,2.0,,,,,,,,,,,,18290.09711082399,,
2020-03-31,7.159999847412109,7.360000133514404,6.860000133514404,7.059999942779541,297800,0,0,-4488.58940224332,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,6.358888977237053,,0.869504850441116,,,,,0.0,,-10.632913195538665,,,,,,,,,,11727.964564624752,,
