Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,7.309999942779541,7.480000019073486,7.199999809265137,7.480000019073486,753300,0,0,753300.0,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6666666666666672,,,,,0.0,,,,,,,,,,,,-296737.5251423193,,
2020-03-16,6.929999828338623,7.269999980926514,6.550000190734863,6.579999923706055,336200,0,0,445116.4254554293,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.013333400090535186,,,,,0.0,,,,,,,,,,,,-358585.1344918776,,
2020-03-17,6.690000057220459,7.119999885559082,6.579999923706055,7.119999885559082,386000,0,0,831116.4254554294,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5757575053860923,,,,,1.0,,,,,,,,,,,,-8774.066161389579,,
2020-03-18,6.650000095367432,7.619999885559082,6.369999885559082,7.610000133514404,1411700,0,0,2220229.785517075,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.8787337005150414,,,,,2.0,,,,,,,,,,,,128831.37163988422,,
2020-03-19,7.050000190734863,7.300000190734863,6.690000057220459,7.03000020980835,807700,0,0,2312916.877772538,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.47303937071334523,,,,,0.0,,,,,,,,,,,,35594.30701170213,,
2020-03-20,7.050000190734863,7.110000133514404,6.800000190734863,6.920000076293945,267100,0,0,2252603.815508361,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.39802340503541717,,,,,0.0,,,,,,,,,,,,-65738.63400754097,,
2020-03-23,6.849999904632568,7.03000020980835,6.400000095367432,6.510000228881836,382100,0,0,2003935.6992569966,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.11367143723548662,,,,,0.0,,,,,,,,,,,,-26818.243216372335,,
2020-03-24,6.5,7.289999961853027,6.5,7.079999923706055,809200,0,0,2382928.005398539,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,0.5740739862872913,,,,,0.0,,,,,,,,,,,,48212.70832114905,,
2020-03-25,7.150000095367432,7.659999847412109,7.099999904632568,7.300000190734863,505200,0,0,2238585.701338185,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.7167546664465447,,,,,0.0,,,,,,,,,,,,86549.8967865132,,
2020-03-26,7.420000076293945,7.71999979019165,7.380000114440918,7.480000019073486,510400,0,0,2028420.995455832,0.0,,,,,,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,,,7.480000019073486,,0.834991719797505,,,,,0.0,,,,,,,,,,,,28283.51745643827,,
2020-03-27,7.130000114440918,7.53000020980835,7.050000190734863,7.320000171661377,746200,0,0,2121695.9027954484,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,7.47877009447667,,0.6889402121625124,,,,,0.0,,,,,,,,,,,,-3376.2889149943785,,
2020-03-30,7.5,7.739999771118164,7.124000072479248,7.510000228881836,1207400,0,0,2427467.3860616297,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,7.4803770139245644,,0.8229022353042784,,,,,0.0,,,,,,,,,,,,15378.144126209434,,
2020-03-31,7.880000114440918,8.28499984741211,7.679999828338623,8.0,1620100,0,0,2521193.0447865278,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,7.505610720922074,,1.178674624931971,,,,,0.0,,6.951871385034083,,,,,,,,,,137045.16613564183,,
2020-04-01,7.75,8.324999809265137,7.679999828338623,8.1899995803833,585500,0,0,2861599.5987471226,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,120483.07302174694,,7.527094717970199,,1.2813193395053464,,74.76476869462701,,,0.0,,24.468080172415043,63.71499106027934,,,,,,6.554367614157382,,399945.2380952382,119611.13423530276,,-6.905382820983372
2020-04-02,7.920000076293945,8.1899995803833,7.920000076293945,7.96999979019165,516800,0,0,2536206.2624703445,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,-2.369583040939507,87028.93522277668,,7.559644514578324,0.0,1.0755261488168182,,70.60925338914257,,,0.0,,11.938201099645438,59.09843475472844,,,,,,6.593568074533739,,186638.09523809515,23.31133493375819,0.15618175019477631,-18.158569459200788
2020-04-03,7.949999809265137,7.989999771118164,7.631999969482422,7.75,942800,0,0,2214917.3821059237,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,3.546332557321271,44965.40130628174,,7.570597969061991,9.183739286740945,0.867133187598942,,66.12693232969173,,,0.0,,1.8396828387562958,54.82077384244536,,81.84143054079921,,,,5.932618873885883,,-82457.14285714284,-39906.85104130252,0.2099254364069134,-29.411756097418202
2020-04-06,7.880000114440918,8.020000457763672,7.659999847412109,7.840000152587891,258100,0,0,2214917.3821059237,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,4.43481807098554,41860.20674580358,,7.609717347680625,23.766614358042546,0.9299090407428294,,65.84607124553384,,,0.0,,11.522047206334623,56.216955713420475,,75.87383563109502,,,,5.9030435517541004,,-182454.7619047619,-23027.272682683833,0.23560218543963574,-24.808167550095952
2020-04-07,8.0,8.319999694824219,8.0,8.199999809265137,670700,0,0,2382592.3821059237,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,4.6082804477608885,70373.2871726072,,7.684195572720225,35.098305033510655,1.2330647537767434,,63.69525340090256,,,0.0,,18.497105763858666,61.36066457310955,,79.76218963129487,,,,5.9030435517541004,,-78226.19047619053,33794.714413703165,0.30521357268473304,-6.49350745860124
2020-04-08,8.130000114440918,8.25,7.889999866485596,7.96999979019165,438000,0,0,2139258.790927408,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,4.079903735692937,45928.530668779465,,7.700339358387235,41.87407281355621,0.997378060067341,,65.58210431457547,,,0.0,,22.42702780304795,56.77171870453935,,83.41892093934825,,,,5.590950921406733,,-220085.71428571432,18512.05185122978,0.30392989669874115,-18.441562173258127
2020-04-09,7.980000019073486,8.149999618530273,7.420000076293945,7.449999809265137,426200,0,0,1748088.6380781406,0.0,,,0.4919240873476974,36.084393395306634,0.12871859610168404,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.16549980640411377,0.5524296500527326,0.9247149040725127,7706.741734542389,,7.699067355207448,47.07824627823618,0.4948021468562143,,64.32105437974523,,,1.0,,5.225987140482964,48.026614436325694,,76.53679271931067,,,,5.600172238455771,,-175416.6666666667,-40092.644160115735,0.22151051539467326,-45.454552210208675
