Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,9.699999809265137,10.079999923706055,9.109999656677246,9.210000038146973,376500,0,0,-298870.8592603225,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.36769771613088836,,,,,0.0,,,,,,,,,,,,32601.493617968772,,
2020-03-16,8.550000190734863,8.550000190734863,6.960000038146973,6.96999979019165,343000,0,0,-637556.5012450205,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.08984371167996293,,,,,0.0,,,,,,,,,,,,-55672.56893544967,,
2020-03-17,7.03000020980835,9.0,6.78000020980835,8.949999809265137,708200,0,0,38742.473146888544,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6722454117809562,,,,,1.0,,,,,,,,,,,,117759.2676936987,,
2020-03-18,8.430000305175781,8.430000305175781,6.96999979019165,7.53000020980835,806000,0,0,-148955.91178009825,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.2815171876595982,,,,,0.0,,,,,,,,,,,,73302.34731202578,,
2020-03-19,7.5,8.0,7.059999942779541,7.679999828338623,512800,0,0,14703.496647642925,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.3588671855690406,,,,,0.0,,,,,,,,,,,,-117664.18308376412,,
2020-03-20,7.619999885559082,7.809999942779541,6.360000133514404,6.53000020980835,740400,0,0,-552085.3681180327,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.028003194900829982,,,,,0.0,,,,,,,,,,,,-100652.04002284374,,
2020-03-23,6.420000076293945,6.489999771118164,5.579999923706055,5.96999979019165,394100,0,0,-608385.4271200909,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.1053459524232834,,,,,0.0,,,,,,,,,,,,-144664.4209324817,,
2020-03-24,6.230000019073486,8.050000190734863,6.230000019073486,7.849999904632568,410800,0,0,-287871.2620448463,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5916959764796164,,,,,0.0,,,,,,,,,,,,95566.8987944865,,
2020-03-25,8.079999923706055,8.380000114440918,7.039999961853027,8.15999984741211,802500,0,0,251120.98543788074,0.0,,,,,,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,,,,,,,,0.6914697567114386,,,,,0.0,,,,,,,,,,,,161055.24386290633,,
2020-03-26,8.239999771118164,9.930000305175781,8.199999809265137,8.779999732971191,366200,0,0,130465.39142298469,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,8.779999732971191,,0.855278238808443,,,,,2.0,,,,,,,,,,,,59515.092330267806,,
2020-03-27,8.520000457763672,8.520000457763672,6.46999979019165,6.570000171661377,882100,0,0,-665575.7717290056,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,8.698964933892023,,0.12186499015216598,,,,,0.0,,,,,,,,,,,,-194207.95224233894,,
2020-03-30,6.579999923706055,6.690000057220459,5.820000171661377,6.329999923706055,549500,0,0,-570834.6208960752,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,8.674727836601381,,0.06618637855847936,,,,,0.0,,,,,,,,,,,,-242105.04680934496,,
2020-03-31,6.360000133514404,6.849999904632568,5.800000190734863,5.909999847412109,602700,0,0,-1047254.9806221253,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,8.474941129622712,,-0.05353261583168366,,,,,1.0,,-35.830620815055006,,,,,,,,,,-60062.660780580816,,
2020-04-01,5.849999904632568,5.869999885559082,4.900000095367432,4.96999979019165,571100,0,0,-1535928.518022143,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-381690.3444367561,,8.262322834896496,,-0.34839099800763207,,33.52083307143748,,,0.0,,-28.69440545485306,32.54497550290728,,,,,,25.163839965062138,,-1702.3809523809468,-130824.44525647236,,-98.6486544952904
2020-04-02,4.789999961853027,5.170000076293945,4.510000228881836,4.630000114440918,685300,0,0,-1972028.6980643359,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-53.0059596087221,-360449.1206303591,,7.984934212769935,0.0,-0.44275244104068434,,31.642649815074932,,,0.0,,-48.268154043445996,31.231464142853724,,,,,,28.27780361215116,,21507.14285714284,-137716.51146066416,-0.40181993761197854,-97.78598000240002
2020-04-03,4.699999809265137,4.889999866485596,4.21999979019165,4.699999809265137,532600,0,0,-1741500.3964299946,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,5.35775974898518,-303630.4123312537,,7.840483992056015,-12.927611932356342,-0.3845410800063064,,31.70703972302782,,,0.0,,-37.58300560014514,31.841384280743227,,3.9905566022430228,,,,30.305906811990212,,-15402.380952380947,-38829.4148956445,-0.33160624398734295,-91.59369569558051
2020-04-06,4.960000038146973,5.320000171661377,4.929999828338623,5.039999961853027,466500,0,0,-1944846.4625269026,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,5.738777058104792,-237596.0575436102,,7.785201863971603,-13.437028571406074,-0.24055630183667756,,27.391740710018098,,,0.0,,-34.37499902987229,34.8632617514444,,8.327032197028549,,,,32.36487356312796,,-33004.761904761894,41799.057539751506,-0.3169491464238078,-85.63922771093382
2020-04-07,5.289999961853027,6.340000152587891,5.210000038146973,6.010000228881836,1169400,0,0,-1458458.6248270634,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,12.683555597999275,-41608.29042831037,,7.686308044736763,-26.53544907332892,0.17169228743424064,,39.39861207807778,,,0.0,,-7.963246006415906,42.67230763984534,,18.038530944181748,,,,33.08796991098631,,102404.7619047619,258809.98392391246,-0.23090479509605222,-68.65148376094042
2020-04-08,6.0,7.090000152587891,5.980000019073486,6.75,1792300,0,0,-764144.5711059942,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,18.271432784452152,153807.4067436033,,7.653305634582111,-28.984144807352948,0.47585369446233944,,53.13235556218335,,,0.0,,13.065330606708612,47.81253774956049,,30.005839793251443,,,,33.36592505460483,,430911.90476190473,445745.61135532346,-0.12041882333295284,-55.69176914837142
2020-04-09,7.039999961853027,7.96999979019165,7.039999961853027,7.760000228881836,1269300,0,0,-68075.73749604402,0.0,,,0.6723578585358921,45.03820574029258,-0.004869056346408705,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.3449998855590817,0.6040956242380066,29.572822378033056,314976.8187116191,,7.655670653416057,-28.302869908569846,0.875790120198138,,63.77571749851245,,,2.0,,-1.146492698651122,53.889573736853116,,45.88441551836746,,,,32.595147325865675,,660733.3333333333,410607.38438556547,0.04481130351414342,-38.003500535585786
2020-04-13,7.789999961853027,8.640000343322754,7.289999961853027,8.430000305175781,772500,0,0,464090.95342455525,0.0,,,0.8152089491378955,86.06229104669956,0.05306711362250755,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.0039997577667235,0.7373030009255317,52.63279226938311,343919.4244581125,,7.7078697140437455,-1.4714462634228482,1.1692370813086053,,69.04327234446048,,,0.0,,3.3088292011341247,57.43084144017044,,60.01167680286533,,,,31.22788201673264,,501404.7619047618,256622.74683492316,0.21774196140085855,-26.269699907446835
2020-04-14,8.869999885559082,10.069999694824219,8.850000381469727,10.020000457763672,724400,0,0,1129114.7768477476,0.0,,,1.0184941394033264,162.1208603260287,0.1197037190330292,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.35849983692169207,0.9914531217306597,35.64875661484434,459330.37961190613,,8.038072301981993,50.45661453446448,1.7902075170215161,,70.6598850766703,,,0.0,,14.123015518280187,64.41526212536398,,78.29070391001113,,,,30.97750028501091,,123038.09523809515,203328.42805415654,0.2446808420696175,-0.8546878269340291
2020-04-15,9.399999618530273,9.6899995803833,8.239999771118164,8.270000457763672,810900,0,0,351770.0320214315,0.0,,,0.7369336269220155,104.83320647313822,0.02106312722048682,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.5645001173019413,0.6923078177086565,22.528014719216422,190986.7539530624,,8.05069480715107,65.32751417661254,1.0773760480119392,,61.70661615420898,,,0.0,,25.875193937360436,53.927735545122644,,80.70213134549493,,,,31.178668385470033,,-30361.90476190485,-4993.631878822838,0.1157833643167605,-30.76921822913436
2020-04-16,8.3100004196167,8.800000190734863,7.28000020980835,7.440000057220459,545700,0,0,-79045.86557276815,0.0,,,0.5948591720042696,52.370080445980705,0.004787998589649409,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.9800001859664915,0.5504274050464371,-41.59906472217209,98998.47216313476,,8.014486918008663,83.24345524806964,0.7194397378027136,,56.680656207111014,,,0.0,,17.53554734428065,49.78746037081807,,74.47294481619177,,,,31.904677828436874,,-118783.33333333337,-196392.22489457382,-0.14903563378137352,-44.9572594953563
2020-04-17,8.180000305175781,9.5,8.180000305175781,8.789999961853027,670200,0,0,-129818.79826646522,0.0,28.0,,0.8076002429310151,99.67014637986819,-0.009792478565850748,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.9755002498626713,0.7811966232755714,-4.2824295587546475,214108.6812947937,,8.10063116150897,109.12236789883661,1.2538986035330546,,64.66063767136015,,,0.0,,48.7309676615647,55.73959233140785,,67.46439486768882,,,,31.144538744918826,,-121714.28571428568,66840.88157402685,0.12989324079939746,-21.880337672442863
2020-04-20,8.729999542236328,8.729999542236328,8.010000228881836,8.420000076293945,501600,0,0,-60151.7994029282,0.0,27.999999999999993,,0.7256078001786911,68.7001440155596,0.033880422372025897,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-2.4099999189376833,0.7179487785591839,4.921843134690618,157008.59216747523,0.49000000953674316,8.128871537148799,141.96419368467224,1.0861697868615925,,64.0330858566679,,,0.0,,69.41650768096427,53.85532906052501,,68.31909356270641,,,,30.304285287231,,-221392.85714285716,100494.87470655909,0.22242096281924095,-28.205122144081606
2020-04-21,8.229999542236328,8.960000038146973,8.020000457763672,8.520000457763672,351800,0,0,-37696.313186064595,0.0,28.0,,0.7194286025413792,68.40428781267313,0.03941930967812081,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-2.4675002574920653,0.7350428611403712,6.341032281910011,139604.52674370017,0.880000114440918,8.161294248033043,165.26460127186576,1.0749428200622302,,68.52214041195757,,,0.0,,84.01728395621173,54.30493479969611,,74.47294209917088,0.6953233824833256,,,29.02851452713329,,-268104.76190476184,-16935.823566221803,0.22989198293048885,-26.495713885962886
