Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,9.859999656677246,10.0,9.84000015258789,10.0,363400,0,0,363400.0,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6666666666666666,,,,,0.0,,,,,,,,,,,,-83388.31493786832,,
2020-03-16,9.710000038146973,9.800000190734863,9.59000015258789,9.699999809265137,578100,0,0,390926.5711781509,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.17117041649805528,,,,,0.0,,,,,,,,,,,,-164430.01258576906,,
2020-03-17,9.609999656677246,9.6899995803833,9.550000190734863,9.649999618530273,2698800,0,0,1547549.8899792407,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.18300506320750626,,,,,1.0,,,,,,,,,,,,-31254.404573664586,,
2020-03-18,9.649999618530273,9.75,9.5,9.5,661700,0,0,885849.8899792407,0.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.06359696179150401,,,,,0.0,,,,,,,,,,,,-24196.860024492093,,
2020-03-19,9.550000190734863,9.600000381469727,9.5,9.600000381469727,951900,0,0,1837749.8899792407,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,0.2538768909465598,,,,,0.0,,,,,,,,,,,,-265.4282539433498,,
2020-03-20,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,275000,0,0,1837749.8899792407,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.25387689094655874,,,,,0.0,,,,,,,,,,,,10020.038223266602,,
2020-03-23,9.600000381469727,9.649999618530273,9.600000381469727,9.649999618530273,10700,0,0,1848449.8899792407,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.44139017937831826,,,,,0.0,,,,,,,,,,,,55.72831409262363,,
2020-03-24,9.649999618530273,9.710000038146973,9.649999618530273,9.710000038146973,2100,0,0,1850549.8899792407,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.671821427471212,,,,,0.0,,,,,,,,,,,,68.78540074298131,,
2020-03-25,9.729999542236328,9.970000267028809,9.729999542236328,9.970000267028809,1400,0,0,1851949.8899792407,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,1.5303038542890761,,,,,2.0,,,,,,,,,,,,50.54424617708772,,
2020-03-26,9.829999923706055,9.829999923706055,9.829999923706055,9.829999923706055,40900,0,0,1851949.8899792407,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,9.829999923706055,,1.0096414368587483,,,,,0.0,,,,,,,,,,,,-536.8372024130377,,
2020-03-27,9.829999923706055,9.829999923706055,9.829999923706055,9.829999923706055,0,0,0,1851949.8899792407,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,9.829999923706055,,1.0096414368587447,,,,,0.0,,,,,,,,,,,,-574.3243619397678,,
2020-03-30,9.84000015258789,9.880000114440918,9.84000015258789,9.880000114440918,32400,0,0,1884349.8899792407,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,9.831815353095108,,1.218667093912753,,,,,0.0,,,,,,,,,,,,164.80225761780108,,
2020-03-31,9.920000076293945,10.494999885559082,9.84000015258789,10.399999618530273,41400,0,0,1913740.6910223134,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,9.924586423840859,,2.6500426942446285,,,,,0.0,,3.9999961853027344,,,,,,,,,,2343.747522793795,,
2020-04-01,10.220000267028809,10.229999542236328,10.220000267028809,10.229999542236328,6700,0,0,1920440.6910223134,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-28191.951787190137,,9.971069103375395,,2.0626623280687717,,6.899433522558354,,,0.0,,5.463914880337958,62.69103406303013,,,,,,2.7889062435120593,,-377773.8095238095,2069.4259812387127,,-26.633203397189583
2020-04-02,10.149999618530273,10.199999809265137,10.0,10.09000015258789,120800,0,0,1908360.9790322317,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-26580.519570381726,,9.980180404632732,0.0,1.449961680157144,,6.73839233432669,,,0.0,,4.559591206746915,56.24705631914032,,,,,,2.9004547394309097,,-330978.5714285714,-1762.6890812288086,0.16568095197429478,-40.70349543242666
2020-04-03,9.8100004196167,10.01200008392334,9.800000190734863,10.01200008392334,2400,0,0,1910760.9790322317,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-22810.045369583615,,9.981915463416419,7.0324034721161865,1.1272030250932172,,7.54426936783338,,,0.0,,5.389474567614103,52.97959284943507,,61.37353398515463,,,,2.9603996228450535,,-302857.14285714284,-1671.7228361383018,0.16646026750279386,-48.54269921491988
2020-04-06,9.84000015258789,10.039999961853027,9.84000015258789,10.039999961853027,55200,0,0,1965960.9790322317,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-19330.66842225471,,9.984906443199876,14.760862013496535,1.1793961065509322,,19.175442662104828,,,0.0,,4.583328780200927,54.012349500734345,,55.008388181593666,,,,2.95716711470004,,-97861.90476190476,135.8210371383597,0.2515221072611199,-45.72864080787246
2020-04-07,10.039999961853027,10.039999961853027,10.039999961853027,10.039999961853027,0,0,0,1965960.9790322317,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-16569.14436193261,,9.98728738122417,22.333348121714096,1.1793961065509317,,27.340575234012775,,,0.0,,4.583328780200927,54.012349500734345,,53.33333972311173,,,,2.795531502813189,,-90864.28571428571,154.37407598513403,0.36568923983733703,-45.72864080787246
2020-04-08,10.0,10.0,9.989999771118164,10.0,5300,0,0,1971260.9790322317,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,-14232.409424202388,,9.98736875972783,29.167557735156322,1.035475236031689,,69.73500405239011,,,0.0,,3.626947101610692,52.115843620982815,,51.07847931863352,,,,2.7800674729856154,,-22283.333333333332,-21.11551779148785,0.43879962963060837,-55.30728042835451
2020-04-09,9.800000190734863,9.979999542236328,9.800000190734863,9.850000381469727,2500,0,0,1970149.8782231952,0.0,,,0.46773406940203843,7.495008953348171,0.3367374635895184,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.09090027809143031,0.3517592178144466,,-12252.779370220002,,9.986601060944725,35.48952631838574,0.4706184800472963,,44.413450776256276,,,0.0,,1.44181609446699,45.64358146996013,,42.29901837833787,,,,2.92978098379625,,-20385.714285714286,-58.615422424056206,0.27907024570937067,-72.06702362875943
2020-04-13,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,0,0,0,1970149.8782231952,0.0,,,0.4758727345312054,-1.2949479594396092,0.2928124721125499,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.041600084304809215,0.3517592178144466,,-10502.38231733143,,9.98583765253346,48.7638144595515,0.48768228885970816,,42.57720574361483,,,0.0,,-1.2036096524081998,45.64358146996013,,32.098139268423445,,,,3.115495326165186,,-19621.428571428572,-37.49990463256836,0.22894284667921472,-76.33127813761573
2020-04-14,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,0,0,0,1970149.8782231952,0.0,,,0.4669953469512506,-4.667741098213555,0.3216864880316639,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.04910011291503835,0.3517592178144466,,-9002.041986284084,,9.984956100191873,61.5462257814948,0.4539142394072448,,42.20026815265237,,,0.0,,0.20346345797458976,45.64358146996013,,22.429358469094836,,,,3.3321604735325927,,-21238.09523809524,0.0,0.18625414351556202,-84.31362282634035
2020-04-15,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,0,0,0,1970149.8782231952,0.0,,,0.4543762256803981,-10.10028426683385,0.19118711013570144,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.009099960327148438,0.3517592178144466,,-7716.035988243501,,9.934570578608204,71.48413763222825,0.40114924946179986,,41.94094796306287,,,0.0,,0.20346345797458976,45.64358146996013,,15.516458081081735,,,,3.618640820263523,,-21971.428571428572,0.0,0.060151306845234176,-92.80572479279873
2020-04-16,9.890000343322754,9.890000343322754,9.880000114440918,9.880000114440918,750100,0,0,1220049.8782231952,0.0,,,0.4639514236598553,-1.7657110982567716,0.14538019325037171,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.49189953804016184,0.38190970668041746,,-3399.0594611100487,,9.91999714807858,73.81377073761058,0.4653450489394672,,86.2369918756114,,,0.0,,0.0,47.400822160159066,,11.463812608209475,,,,3.8306453294580454,,177404.7619047619,2284.548104589313,0.08971087793462673,-88.48921455623251
2020-04-17,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,750300,0,0,1220049.8782231952,0.0,36.0,,0.468213205044553,-1.9430584900547372,-0.29453557684343196,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.30689949989318777,0.3351948640080982,,-769.8184069166982,,9.916874205995697,76.57552969149253,0.48134033818769845,,92.07026245796955,,,0.0,,-4.807692484037418,48.593934409424755,,11.031157948661656,,,,4.014773747302913,,373911.90476190473,3803.336337831407,0.09399602892599224,-85.6115868049838
2020-04-20,9.920000076293945,9.920000076293945,9.920000076293945,9.920000076293945,200100,0,0,1220049.8782231952,0.0,36.0,,0.4712231900827177,0.3178426845995398,-0.30544430191170724,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.15090012550354004,0.3575417565731639,,-88.11697756992112,-0.0774998664855957,9.917080458354594,72.02248556867863,0.5027676326010064,,92.7583761631649,,,0.0,,-3.030297945395757,49.8197924886134,,14.388458934811647,,,,4.1877325454897845,,428633.3333333334,1923.0399254360862,0.07427181715340359,-82.73382183434876
2020-04-21,9.920000076293945,9.920000076293945,9.920000076293945,9.920000076293945,0,0,0,1220049.8782231952,0.0,36.0,,0.44648159531407033,-9.370863119064646,-0.31238815458145036,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.059400033950804954,0.31952706797720665,,-75.52883791707525,-0.09749984741210938,9.917422812347029,66.751743099572,0.4239591020377603,,92.59470951889853,,,0.0,,-1.6848372024091947,49.8197924886134,,19.853861192743242,0.2449756640092345,,,4.265326648466266,,181557.14285714287,404.25169219399237,-0.3861772890342059,-72.09300778243772
