Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-08-06,17.203984416669215,21.753482736726163,16.72609596065063,20.558761596679688,111631600,0.0,0,58574758.202233255,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5874524749297887,,,,,0.0,,,,,,,,,,,,-978596.8822015836,,
2020-08-07,23.655477219784245,25.662608984850724,21.657903442051378,23.798843383789062,89903400,0.0,0,64797167.15420681,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.7331568321768569,,,,,0.0,,,,,,,,,,,,11636367.154125242,,
2020-08-10,23.168031484595655,23.655477914936125,20.42495284422837,20.711685180664062,26126800,0.0,0,43308250.002116024,0.0,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.38386593787257706,,,,,1.0,,,,,,,,,,,,10779729.475818241,,
2020-08-11,20.166891943322042,20.644780369358113,19.153768990565485,19.66988754272461,18118200,0.0,0,37733400.4885512,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.277275767919631,,,,,0.0,,,,,,,,,,,,-4300483.369100676,,
2020-08-12,19.736792252244232,20.252912643656785,18.398704981803895,19.115537643432617,17365100,0.0,0,33794920.50371163,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.22820982504089904,,,,,0.0,,,,,,,,,,,,-1400740.1876553218,,
2020-08-13,18.350917014812435,18.733227406162747,17.50027434318328,17.911258697509766,19121400,0.0,0,27421120.50371156,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.06526673798443373,,,,,0.0,,,,,,,,,,,,-1694043.1128540204,,
2020-08-14,19.402269780331828,19.583867896525984,17.853912267938693,18.12152862548828,34817500,0.0,0,3375841.9121783227,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.12900992890911328,,,,,0.0,,,,,,,,,,,,-795906.8598035321,,
2020-08-17,18.532512768079886,18.570744717594085,17.97816226112184,18.1979923248291,8908400,0.0,0,1076932.686468509,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.15311733398356883,,,,,0.0,,,,,,,,,,,,446330.363821215,,
2020-08-18,18.75234318730961,19.880158374365166,18.25533877220055,19.249345779418945,16284100,0.0,0,4716902.3920297865,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.3854404907267302,,,,,0.0,,,,,,,,,,,,978371.0137581223,,
2020-08-19,19.191999544184224,20.70212693117582,19.11553746723527,20.453624725341797,16762500,0.0,0,16228493.672458353,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,20.453624725341797,,0.6438842779176969,,,,,0.0,,,,,,,,,,,,1989478.7871407592,,
2020-08-20,21.504979189937284,23.36874478226505,21.21824686327132,22.737932205200195,35029100,0.0,0,30707193.090250716,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,20.51104830388159,,1.1030138324494398,,,,,2.0,,,,,,,,,,,,4960826.539058693,,
2020-08-21,23.636360882686574,25.997130850898873,23.340070571886525,24.74506187438965,39128700,0.0,0,32959175.051059537,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,20.561633759357306,,1.451124843232293,,,,,0.0,,,,,,,,,,,,7366110.327003889,,
2020-08-24,27.526374016377744,28.635075075567972,26.618387054333894,27.82266616821289,41478400,0.0,0,41018998.38671614,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,21.731302138784827,,2.0200766955478366,,,,,0.0,,35.33240335208882,,,,,,,,,,8612751.282219272,,
2020-08-25,28.004260864892892,28.118954888558513,25.9111108842423,27.344776153564453,36330700,0.0,0,51871036.56779865,0.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,73492386.06992115,,22.842642313837416,,1.817812935572778,,69.69081890018208,,,0.0,,14.899601264617573,74.36052426135397,,,,,,15.064894140175722,,2478845.238095239,4534744.351985814,,-10.834672809084646
2020-08-26,26.45590429535279,27.220525069149225,25.337645274300677,26.11182403564453,21137500,0.0,0,48115637.764781326,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,1.3507767021676231,59270398.718142085,,23.34746597587072,0.0,1.4823428156232559,,65.6797074652771,,,0.0,,26.072909122923082,67.38906510576321,,,,,,15.154268290399981,,2945642.857142858,-1577097.8672740767,0.35366540233230626,-22.660944731455885
2020-08-27,26.102266379712628,27.688855872746807,25.519243715910747,25.901554107666016,17824100,0.0,0,36573156.93087451,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,0.22683510711675886,50267788.58365295,,23.914399398525532,16.14148108584466,1.3711592753037343,,58.5253440772978,,,0.0,,31.681251615728435,66.24836354053109,,80.65167819206333,,,,15.266215623826866,,209397.6190476194,-1096603.0606249056,0.11868127555063779,-24.54934788326948
2020-08-28,26.28386458227421,27.698413947727573,25.97514868929622,27.163179397583008,16363200,0.0,0,42771758.12860088,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,1.832724243213534,46035851.20655535,,24.68520541310294,30.182696958717443,1.6051549316323277,,65.06514262763541,,,0.0,,42.10000212531432,69.57600654705178,,79.85694326724513,,,,14.880839600859257,,-5749035.714285713,653494.9614322546,0.25354292873284157,-13.218877583539246
2020-08-31,28.03293628076348,28.328271356148303,25.56703196253095,26.76175308227539,24922600,0.0,0,39415963.70711713,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,3.178933298385985,38030074.25049236,,25.114936065795042,48.49544863378111,1.4417833102257596,,62.58511444314281,,,0.0,,49.41302302777931,67.30231253886333,,81.8025821767366,,,,14.17666534784853,,-4973364.285714287,428712.27151751664,0.39317836604373324,-16.82402800298142
2020-09-01,26.952909314840298,29.62908390620043,26.57059709636048,29.35190773010254,30720700,0.0,0,64568520.581140324,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,4.435668172929318,43964544.19892252,,26.078997402932615,74.25386956942722,1.9266018142748413,,68.75913701895982,,,0.0,,61.97258154490627,73.35323457596665,,89.22394111444125,,,,13.164991664442717,,-1628469.0476190448,2605009.7406847873,0.48840115376666327,-2.2852710701555647
2020-09-02,32.43906542557612,32.90070728392549,29.256330366929134,29.925373077392578,62243000,0.0,0,25178933.59293048,0.0,,,0.9198750921525781,137.17981680090617,0.03679963168546014,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-4.033378887176514,0.816049106401,6.238270727622156,42783066.97212987,,26.923361614862415,98.53037143139892,1.9236962309079486,,76.88611923026427,,,0.0,,64.44326683533541,74.479299121449,,87.03894248832053,,,,11.384269473871623,,10584683.333333336,4189401.851583833,0.7101486140670026,-19.773873461901385
2020-09-03,26.78086812136242,27.86089517373014,24.65904232016259,25.328086853027344,41944500,0.0,0,763495.4781309441,0.0,,,0.6150188740772212,44.502795060929216,-0.09407396242900844,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,-3.0675662040710456,0.5082852241858344,3.397239489934687,9123932.82784167,,26.88280540157268,102.17794543303637,0.8860432384794646,,67.67865680743884,,,0.0,,31.57894893294337,54.5701405633878,,75.73156100665715,,,,10.28642503749741,,15749578.57142857,-5227647.105333281,0.4234341094126126,-50.74617244797163
2020-09-04,25.624376479777894,25.80597458917868,21.56232492407384,23.483436584472656,32980800,0.0,0,-2356310.1187337725,0.0,,,0.49860041410250105,0.45299506589797717,-0.12043148874295688,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.7674883842468248,0.3885061065693016,1.2410415362511784,-870634.9442997724,,26.8407583160436,91.67527457778783,0.4756104336106839,,63.99498848071726,,,1.0,,14.813080321049203,48.91951364323549,,55.05930474019018,,,,9.967410362480235,,14783488.095238093,-8845724.00346345,0.27996783428163385,-64.30203986955642
2020-09-08,22.00198363892831,23.674593135125733,21.552767350372637,21.734365463256836,16893800,0.0,0,-16358372.049107032,0.0,,,0.38309431031598024,-25.074200381300916,-0.10880637923991522,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1.1885072708129876,0.2749332526147475,-0.2846964681814207,-4967466.76762778,,26.350279508535763,70.90969387843671,0.06881214406701405,,60.89157871196187,,,0.0,,-4.413623599923666,44.241616564750984,,34.64973925098137,,,,11.258795412937367,,-376461.904761903,-3660267.129505098,0.1858856982238477,-81.00256992952781
