Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,154.9660713121272,163.27974481470625,149.4694224753737,163.1128692626953,2179400,0.0,0,2126730.9066774165,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.662638869006562,,,,,0.0,,,,,,,,,,,,-569501.0436093805,,
2020-03-16,143.47220338394075,160.80626419608353,142.5888202753806,150.4804229736328,1858400,0.0,0,1878409.084304216,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.3602514354886217,,,,,0.0,,,,,,,,,,,,-713526.3171852902,,
2020-03-17,153.47414438691274,156.19302411321462,145.36660035628603,152.29629516601562,1989500,0.0,0,2435757.080187252,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.4497256194624497,,,,,1.0,,,,,,,,,,,,-119918.10025972518,,
2020-03-18,140.9202023225582,141.35206886592144,114.82095771943169,126.18722534179688,2301800,0.0,0,2106198.2478265283,0.0,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.10461175310992668,,,,,0.0,,,,,,,,,,,,-370603.7914613465,,
2020-03-19,124.91122887383133,135.25669834255302,117.68706805881727,132.58689880371094,1841100,0.0,0,3387768.212010996,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.18818924163268608,,,,,0.0,,,,,,,,,,,,-301238.7423032463,,
2020-03-20,135.0407527320998,138.97673666470416,122.16289967812683,124.44989776611328,1701100,0.0,0,2149431.405276103,0.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.02301680045141666,,,,,0.0,,,,,,,,,,,,-11025.667209533043,,
2020-03-23,120.20963096075221,123.02665595019876,113.25048380697933,118.45266723632812,2071500,0.0,0,2282541.311080653,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.09344741657754443,,,,,0.0,,,,,,,,,,,,-204223.76026754518,,
2020-03-24,127.10006335152296,143.5801708487134,127.10006335152296,139.281005859375,2545600,0.0,0,3500000.1689521093,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,0.5525272877601507,,,,,0.0,,,,,,,,,,,,347784.75454334484,,
2020-03-25,140.97908907479697,157.03714035170313,136.02229170754327,151.7073516845703,2009500,0.0,0,4490200.862261187,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.8857333475094797,,,,,2.0,,,,,,,,,,,,626893.3544597451,,
2020-03-26,155.06423233765497,156.42857715430742,147.4474604444451,156.3500518798828,1547900,0.0,0,6011033.120863645,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,156.3500518798828,,1.0038335391947402,,,,,0.0,,,,,,,,,,,,226653.56693385367,,
2020-03-27,147.31004651076861,153.7293342466846,143.81575413645874,148.66458129882812,1168100,0.0,0,5985590.958978324,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,156.1860637963591,,0.7480990605090505,,,,,0.0,,,,,,,,,,,,-10048.196591997155,,
2020-03-30,148.59587575661413,150.7650935675599,145.935886176213,149.44981384277344,1199300,0.0,0,6531609.852533054,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,156.15204847260898,,0.7680522686676036,,,,,0.0,,,,,,,,,,,,-51083.9899525974,,
2020-03-31,147.4572680089881,150.02892202738656,142.82438173595477,148.12472534179688,1896800,0.0,0,7425742.054971551,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,156.08536456051192,,0.716858199268181,,,,,0.0,,-9.188817527794109,,,,,,,,,,-10483.280714989169,,
2020-04-01,140.3214549770531,142.45140241734245,137.474970051173,141.0281524658203,1408900,0.0,0,8028756.750337931,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-3430697.0307127396,,155.58024738742628,,0.4662391837555403,,40.71386963580457,,,0.0,,-6.281395493863496,42.865796043948016,,,,,,14.575203294879893,,-335397.61904761894,-84317.48444252547,,-44.47715576979884
2020-04-02,139.84050381477363,149.48907822887335,139.84050381477363,146.94688415527344,997400,0.0,0,8500569.392001713,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-710.3007424878857,-2097262.742459413,,155.30037080457836,0.0,0.6825108110377552,,43.21905621649403,,,0.0,,-3.5125023920712484,47.61354996440501,,,,,,14.663565224914036,,-318269.0476190476,-25640.289241956096,-0.10630379716029259,-29.14341837608768
2020-04-03,147.5063556104923,149.70501843673682,142.16675658758783,144.07095336914062,935600,0.0,0,8037642.415166044,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-309.6628436466508,-2182042.471180334,,154.68384043549003,6.3505402544162735,0.5670610778411892,,45.12804967753161,,,0.0,,14.172375990440406,45.629414250188994,,65.5890793398015,,,,14.667705236307718,,-572754.7619047619,23548.483283763817,-0.05409341126366429,-29.61218783470898
2020-04-06,153.05206562740125,156.35987729581734,151.53068523521213,154.5047607421875,1366600,0.0,0,8354293.582991072,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-71.82640647213138,166655.18984626466,,154.66091374492257,19.48042199197971,0.9658588454434694,,52.99179612562485,,,0.0,,16.530940942306067,53.242205146292896,,78.48698109438641,,,,14.563654144930204,,-542361.9047619046,80660.12439303641,0.016304656696854547,-5.783450506044121
2020-04-07,160.48234973338586,166.76422165257324,157.056757793781,157.12547302246094,1199900,0.0,0,7171380.801093022,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,2256.8084162660384,592074.8291682408,,154.82375027660035,26.611113139423082,1.0397549860337667,,60.93386399799406,,,0.0,,26.25600811481338,54.94848590385946,,82.19754472329973,,,,13.247417617834783,,-396154.7619047619,119323.68755275189,0.31071821023133217,-18.011727489347702
2020-04-08,159.3045136588985,166.55811955274476,158.85299705720703,164.7030029296875,898200,0.0,0,7637072.232463513,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,2415.5858868161185,1479798.048240049,,155.29355008592586,39.5032205611995,1.3255867538521258,,59.7661076735274,,,0.0,,39.04541516239907,59.54531440093278,,90.78435526348972,,,,12.266911481716717,,-341271.42857142864,63669.298603094896,0.3540617853872282,-3.8517562141390442
2020-04-09,167.2157436099122,170.7885611873894,158.85298917885464,164.5459442138672,1240600,0.0,0,7579939.604012402,0.0,,,0.849064763629831,127.73142371281648,0.23425820540752604,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.003902816772467,0.891504595604586,2271.62664138086,1240563.0352276594,,155.5631607365623,48.817041374648795,1.2775922585544337,,59.57408764655441,,,0.0,,18.139543291352247,59.41000512631157,,89.09565861899061,,,,10.504580602627838,,-350378.57142857136,42133.554581185956,0.34046744060989353,-10.849540439541407
2020-04-13,162.9951204709372,164.27113008884103,156.26173107942876,157.57699584960938,730000,0.0,0,7089693.7431440735,0.0,,,0.7234225882658756,90.61851596739385,0.16057315099963948,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.923396682739252,0.7703857004044046,2333.757918770259,336577.9864939648,,155.62971649444458,64.24071729005254,0.9956520375861218,,62.24977141382586,,,0.0,,3.869057168200535,53.59084308965402,,85.01944296495623,,,,7.624702781176776,,-411190.4761904763,-32100.417730113222,0.4440131645097083,-30.240374451450887
2020-04-14,161.47369546141476,162.63192443370338,156.54635849539463,160.76698303222656,1072200,0.0,0,7504735.414425299,0.0,,,0.7691982539212541,88.67879993968727,0.18678710062284481,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1.7235980987548771,0.8258270242694122,1510.856240390994,777110.3108808482,,155.84772849503244,83.59131589998466,1.1479738779944995,,59.77239439177735,,,0.0,,2.82502698223413,55.72846933545448,,76.6948356756201,,,,6.579974820943424,,-247947.61904761905,-9211.790697092536,0.30976134817419754,-28.825578082147445
2020-04-15,155.70224242835602,156.6641508167518,151.94292921368097,156.02615356445312,718100,0.0,0,8028756.057261599,0.0,,,0.6718809805868076,53.20410291162218,0.19386343862691932,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2.3223377227783146,0.7434323791298174,426.7937154893916,179753.1749252834,,155.85211295067816,94.24130022646182,0.9367996580746727,,52.3202402156533,,,0.0,,4.951799683091718,51.90229515923271,,65.54019308028452,,,,6.464214135164248,,-329871.42857142864,529.6810399040805,0.08619801098583768,-44.31346822554813
2020-04-16,156.2420777020525,157.20400105749968,151.99200778371346,156.01632690429688,765700,0.0,0,8445490.872029593,0.0,,,0.6523635107255379,49.60149722527449,0.2320886510704385,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,-0.49420585632324787,0.743261593788985,216.9701145578701,152999.25369572284,,155.86385105366503,98.22015256677739,0.9129866492634543,,49.9433258395217,,,0.0,,4.393791395706685,51.89434192236528,,60.83932933865098,,,,6.5226604666311845,,-262100.0,-21224.14984702379,0.008055384811088251,-44.342965676351525
