Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,41.18000030517578,41.43000030517578,37.06999969482422,38.66999816894531,1014600,0,0,-269940.26394901605,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.455657358573327,,,,,0.0,,,,,,,,,,,,-392664.1948944808,,
2020-03-16,34.40999984741211,35.97999954223633,31.34000015258789,33.400001525878906,953100,0,0,-376752.519487727,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.1761112919560187,,,,,0.0,,,,,,,,,,,,-523166.2088011302,,
2020-03-17,33.84000015258789,37.90999984741211,31.600000381469727,37.58000183105469,965500,0,0,487760.75729216036,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6441325439991048,,,,,1.0,,,,,,,,,,,,-9057.643685777104,,
2020-03-18,34.689998626708984,38.31999969482422,34.47999954223633,34.9900016784668,808400,0,0,-105907.10179849138,0.0,,,,,,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.3878156442099188,,,,,0.0,,,,,,,,,,,,65117.40321758435,,
2020-03-19,34.79999923706055,37.11000061035156,33.709999084472656,35.7599983215332,836400,0,0,66292.07018817964,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.4781964123521189,,,,,0.0,,,,,,,,,,,,-37308.658265138394,,
2020-03-20,36.72999954223633,39.279998779296875,35.7599983215332,37.189998626708984,929500,0,0,-107989.1168544225,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6140517713551276,,,,,0.0,,,,,,,,,,,,55575.590332241205,,
2020-03-23,37.869998931884766,38.20000076293945,35.75,38.0,1183300,0,0,882118.3696034064,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.7014375892327998,,,,,0.0,,,,,,,,,,,,62941.988503737564,,
2020-03-24,39.31999969482422,41.970001220703125,38.90800094604492,41.70000076293945,603500,0,0,1379187.7610832523,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,1.1052604274714477,,,,,2.0,,,,,,,,,,,,84534.23014042524,,
2020-03-25,42.13999938964844,45.529998779296875,41.209999084472656,42.369998931884766,674300,0,0,1067011.8131044237,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,1.0977938378082968,,,,,0.0,,,,,,,,,,,,69595.90115369936,,
2020-03-26,43.150001525878906,46.97999954223633,41.959999084472656,46.27000045776367,844700,0,0,1672773.0991740169,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,46.27000045776367,,1.4679878868470633,,,,,0.0,,,,,,,,,,,,88585.55441245831,,
2020-03-27,44.900001525878906,45.5099983215332,43.18000030517578,44.290000915527344,485400,0,0,1649857.8673859374,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,46.19216112998724,,1.18652714193244,,,,,0.0,,,,,,,,,,,,56980.127141541,,
2020-03-30,44.88999938964844,46.242000579833984,42.959999084472656,44.38999938964844,605400,0,0,1572015.326440725,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,45.913449238327445,,1.1484146888490316,,,,,0.0,,,,,,,,,,,,-19404.501247236174,,
2020-03-31,43.959999084472656,45.05500030517578,42.290000915527344,43.33000183105469,774000,0,0,1380265.5154510834,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,45.727805659784565,,0.980723304719301,,,,,0.0,,12.050695326517188,,,,,,,,,,-17115.619705827816,,
2020-04-01,41.61000061035156,43.125,39.650001525878906,39.939998626708984,692100,0,0,803680.3825678297,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-728680.8018094925,,45.41662101291504,,0.5223909021390841,,53.39325839275919,,,0.0,,19.58082874865372,49.94167850924147,,,,,,6.659386080727341,,-121657.14285714284,-72630.22828264414,,-45.01279533416652
