Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,400200,0,0,0.0,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,0.0,,,,,,,,,,,,-9307.314600454645,,
2020-03-16,9.8100004196167,9.8100004196167,9.600000381469727,9.619999885559082,4900,0,0,-3966.6899787012776,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.30158733762940265,,,,,0.0,,,,,,,,,,,,-9343.167436493519,,
2020-03-17,9.649999618530273,9.654999732971191,9.494999885559082,9.555000305175781,121200,0,0,-34265.96756971766,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.14864737150951993,,,,,1.0,,,,,,,,,,,,-957.4993737739659,,
2020-03-18,9.59000015258789,9.640000343322754,9.5,9.510000228881836,550500,0,0,-506121.50329495117,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.14215568944388504,,,,,0.0,,,,,,,,,,,,-3411.5396188438112,,
2020-03-19,9.5,9.520000457763672,9.5,9.5,9000,0,0,-515121.50329495117,0.0,,,,,,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,,,,,,,,-0.16194898388831444,,,,,0.0,,,,,,,,,,,,-2602.0899156070755,,
2020-03-20,9.5,9.510000228881836,9.5,9.5,157500,0,0,-672621.5032949512,0.0,,,,,,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,,,,,,,,-0.15277689474749934,,,,,0.0,,,,,,,,,,,,-9.463938777118797,,
2020-03-23,9.5,9.640000343322754,9.5,9.600000381469727,12600,0,0,-667221.4787719575,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.4375017238566395,,,,,0.0,,,,,,,,,,,,132.63208489668995,,
2020-03-24,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,1200,0,0,-667221.4787719575,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.43750172385664005,,,,,0.0,,,,,,,,,,,,132.63208489668995,,
2020-03-25,9.619999885559082,9.739999771118164,9.619999885559082,9.739999771118164,4400,0,0,-662821.4787719575,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,1.1718723302124432,,,,,0.0,,,,,,,,,,,,64.16638437245749,,
2020-03-26,9.739999771118164,9.739999771118164,9.739999771118164,9.739999771118164,0,0,0,-662821.4787719575,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,9.739999771118164,,1.1718723302124396,,,,,0.0,,,,,,,,,,,,64.16638437245749,,
2020-03-27,9.699999809265137,9.890000343322754,9.699999809265137,9.890000343322754,7900,0,0,-654921.4787719575,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,9.740780352031672,,1.8324909224487556,,,,,2.0,,,,,,,,,,,,121.66371132062356,,
