Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,12.9399995803833,13.380000114440918,10.25,11.199999809265137,4773100,0,0,-1875691.7419729114,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.43450476832062623,,,,,0.0,,,,,,,,,,,,-3572855.789478568,,
2020-03-16,9.84000015258789,10.720000267028809,8.354999542236328,9.489999771118164,5122800,0,0,-2081470.692834706,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.30421595718746347,,,,,0.0,,,,,,,,,,,,-4392767.324716013,,
2020-03-17,9.869999885559082,10.029999732971191,7.835000038146973,9.920000076293945,5752500,0,0,3094470.6620521042,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,,,,,,,,0.45882101142383513,,,,,1.0,,,,,,,,,,,,-521490.9402776049,,
2020-03-18,9.029999732971191,9.319999694824219,8.03499984741211,8.899999618530273,4295800,0,0,4582120.402147992,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.30250691480261854,,,,,0.0,,,,,,,,,,,,-181054.56056570646,,
2020-03-19,8.800000190734863,9.5600004196167,8.5,9.109999656677246,3778100,0,0,5152395.478689322,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,0.3678790383098906,,,,,0.0,,,,,,,,,,,,-352559.23698048707,,
2020-03-20,9.34000015258789,10.024999618530273,8.220000267028809,8.359999656677246,3934500,0,0,1828230.9872462405,0.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.20819251064963132,,,,,0.0,,,,,,,,,,,,-234769.83876204438,,
2020-03-23,8.430000305175781,9.25,7.835000038146973,9.020000457763672,3184800,0,0,3977691.6771942433,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,0.40072942354447133,,,,,0.0,,,,,,,,,,,,-72484.14409946022,,
2020-03-24,9.770000457763672,11.369999885559082,9.630000114440918,11.15999984741211,3398900,0,0,6556167.282311639,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.9264198972609626,,,,,0.0,,,,,,,,,,,,1057822.5326275697,,
2020-03-25,11.899999618530273,13.569999694824219,10.800000190734863,12.15999984741211,4866500,0,0,6468323.97120202,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,1.0846233212683105,,,,,2.0,,,,,,,,,,,,1242456.9523810903,,
2020-03-26,12.270000457763672,12.9399995803833,11.779999732971191,12.380000114440918,2514200,0,0,6555022.518657189,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,12.380000114440918,,1.1014531796704004,,,,,0.0,,,,,,,,,,,,481553.5410402157,,
2020-03-27,11.720000267028809,11.789999961853027,10.119999885559082,10.220000267028809,2454800,0,0,4394211.650653703,0.0,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,12.347951742027776,,0.5163875627590574,,,,,0.0,,,,,,,,,,,,-382813.8698064545,,
