Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,11.618866079929024,11.918272018432619,10.933130789564498,11.918272018432617,1159000,0.0,0,1158999.9999999958,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.6666666666666664,,,,,0.0,,,,,,,,,,,,35177.21522507943,,
2020-03-16,10.797917070457933,11.850665812243006,9.803117276779568,10.005940437316895,1731900,0.0,0,-229787.80934798694,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.1486201894620164,,,,,0.0,,,,,,,,,,,,-244322.48419418925,,
2020-03-17,10.160471773159713,10.160471773159713,8.943532970625656,9.213963508605957,1401300,0.0,0,-1008288.5164292442,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.036363596578739894,,,,,1.0,,,,,,,,,,,,-388803.7096435318,,
2020-03-18,8.634468893826707,8.731051692898173,6.780086612417407,7.079492092132568,1059900,0.0,0,-1742872.7318208402,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.37045675889643775,,,,,0.0,,,,,,,,,,,,-356446.2046779186,,
2020-03-19,7.069833867207143,8.518569820890095,6.809061331068484,8.460620880126953,1390200,0.0,0,-446922.76676196675,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.20044769784561628,,,,,0.0,,,,,,,,,,,,25679.921666251816,,
2020-03-20,8.508914128549609,9.6002949873844,8.3350654262904,9.271915435791016,1867500,0.0,0,451189.80907701305,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.4738602176784822,,,,,0.0,,,,,,,,,,,,450288.10237172066,,
2020-03-23,9.242938108881653,9.39746984704466,8.325405222727436,9.136697769165039,1113500,0.0,0,1022987.9337746953,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.4459627846585997,,,,,0.0,,,,,,,,,,,,162837.00551806192,,
2020-03-24,9.590635832645619,9.957649186317616,9.368495759149635,9.687217712402344,955600,0.0,0,1101314.52906699,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6274508477953331,,,,,0.0,,,,,,,,,,,,41339.6359921338,,
2020-03-25,10.527484244176932,11.638182714670155,10.160471829702162,11.15527057647705,1869000,0.0,0,1748745.6884172698,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,1.0959475409474135,,,,,2.0,,,,,,,,,,,,340816.71760383574,,
2020-03-26,11.21321959091492,11.889297325691915,10.624067110038595,10.807573318481445,1180900,0.0,0,910395.9672031177,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,10.807573318481445,,0.9141769951743021,,,,,0.0,,,,,,,,,,,,246430.94474534053,,
2020-03-27,10.266713806027793,10.682018605860012,9.832092996549537,10.286029815673828,1448100,0.0,0,1009127.5971081752,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,10.793840012635377,,0.7097280382504676,,,,,0.0,,,,,,,,,,,,-106688.61526354484,,
2020-03-30,10.353637762023457,10.450219648778416,9.899700038921207,10.112181663513184,1097200,0.0,0,758890.4820916399,0.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,10.790285736446931,,0.636793795426069,,,,,0.0,,,,,,,,,,,,-88425.48810452662,,
2020-03-31,10.034915338142968,10.382611772901832,9.300888610347931,9.532686233520508,1666400,0.0,0,-193338.69745033956,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,10.780502505969705,,0.4046903207811828,,,,,0.0,,-20.01620521181761,,,,,,,,,,-114040.03019194488,,
2020-04-01,9.088406732129831,9.242938476437976,8.393012961661334,8.49925422668457,1234800,0.0,0,-1119437.0247274835,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-703897.7944917856,,10.70106422323494,,0.005996613796414005,,40.88244821041262,,,0.0,,-15.057917045090308,35.27024925340619,,,,,,21.41276386974659,,-36864.28571428568,-229359.65537449898,,-66.54134721852282
2020-04-02,8.479782793983656,8.956831199263311,8.041677096717294,8.207183837890625,966100,0.07,0,-1736096.286380326,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-31.78433798355723,-643650.852794935,,10.68071802037685,0.0,-0.08879134940363402,,39.053235503860165,,,0.0,,-10.926673084552455,33.78511378662989,,,,,,22.547594468482732,,-66785.71428571432,-167063.11464977055,-0.30885543137887395,-72.06814700819831
2020-04-03,8.207183628228867,8.294804951137234,7.739870215540036,8.002734184265137,882800,0.0,0,-1782558.9778469563,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-28.891409802921807,-577484.7529985987,,10.564255272501159,-7.128006615062503,-0.1546993541604515,,41.62382834262601,,,1.0,,13.041078090313373,32.745684039526026,,28.440256329114177,,,,23.38912838818995,,-267335.7142857143,-55190.77388234083,-0.32349041081950225,-76.06973678593633
2020-04-06,8.38242529508539,9.015245440907607,8.372690314739947,8.888681411743164,995600,0.0,0,-1179165.4743934986,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,-17.863889397612542,-368979.9226163527,,10.550931644732591,-4.341141913921916,0.24338052977174415,,48.01856018034753,,,0.0,,5.0594458454187095,41.18936443156436,,31.044192300804326,,,,23.232836831184,,-318090.4761904763,88226.97849757576,-0.10369241502713256,-58.72953930345236
