Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,44.93000030517578,45.11000061035156,42.369998931884766,44.5099983215332,6643200,0,0,3733760.026730709,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.5936737322056316,,,,,0.0,,,,,,,,,,,,-4587703.411170415,,
2020-03-16,38.5,43.290000915527344,38.5,41.08000183105469,6871000,0,0,4264509.167826697,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.31451999253609797,,,,,0.0,,,,,,,,,,,,-5132057.381048233,,
2020-03-17,41.869998931884766,45.0,40.5,44.2599983215332,5394200,0,0,7884612.699388655,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,0.6900801191952592,,,,,1.0,,,,,,,,,,,,-111923.7328822086,,
2020-03-18,40.540000915527344,41.959999084472656,36.279998779296875,41.959999084472656,7571800,0,0,15456412.699388655,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.48776579471446657,,,,,0.0,,,,,,,,,,,,24090.725189555727,,
2020-03-19,41.08000183105469,41.310001373291016,38.02000045776367,39.70000076293945,7276900,0,0,15611239.640883505,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.2750001438080056,,,,,0.0,,,,,,,,,,,,-785412.9669709115,,
2020-03-20,41.70000076293945,42.33000183105469,37.994998931884766,38.0,5849000,0,0,9775735.017051123,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.11729502124545657,,,,,0.0,,,,,,,,,,,,-642400.5820429325,,
2020-03-23,38.099998474121094,38.7599983215332,35.61000061035156,38.45000076293945,5627900,0,0,14295929.285191838,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,,,,,,,,0.2218127931413938,,,,,0.0,,,,,,,,,,,,-183814.7675655595,,
2020-03-24,41.7400016784668,43.75,41.23500061035156,42.84000015258789,6362200,0,0,16054071.683400825,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.7437634321934569,,,,,0.0,,,,,,,,,,,,793045.6096257812,,
2020-03-25,43.470001220703125,46.36000061035156,42.4900016784668,44.040000915527344,4203300,0,0,15217755.45151448,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.8506835677324401,,,,,2.0,,,,,,,,,,,,844138.882657623,,
2020-03-26,45.380001068115234,46.47999954223633,44.64500045776367,45.7400016784668,5064900,0,0,16197623.244227678,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,45.7400016784668,,1.0431823085355678,,,,,0.0,,,,,,,,,,,,313251.2342960123,,
2020-03-27,44.310001373291016,46.0,43.5,43.93000030517578,4146800,0,0,13477323.456630021,0.0,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,45.728390556211814,,0.770735034704776,,,,,0.0,,,,,,,,,,,,31416.486549702706,,
2020-03-30,44.0,44.5,42.5,44.459999084472656,3071200,0,0,16425672.644862443,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,45.69225747745041,,0.8361038683864553,,,,,0.0,,,,,,,,,,,,-127042.31523723567,,
2020-03-31,44.13999938964844,45.11000061035156,43.7599983215332,44.310001373291016,2682700,0,0,15928884.771340637,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,45.68617379920704,,0.803313522845767,,,,,0.0,,-0.4493303881915275,,,,,,,,,,28002.055524079202,,
2020-04-01,43.0,43.93000030517578,42.220001220703125,43.16999816894531,3713500,0,0,16341484.836926695,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-3245737.747792568,,45.65458611537737,,0.624910262912324,,36.70185846437178,,,0.0,,5.087624743752272,48.973382042405916,,,,,,7.013322388234297,,-2164100.0,-104591.35669586199,,-30.45079759466995
2020-04-02,42.77000045776367,44.709999084472656,42.619998931884766,44.58000183105469,2733000,0,0,18734501.614292584,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-6.637609465313092,-2231555.211172927,,45.57772118518702,0.0,0.8387806844251914,,39.275223957442066,,,0.0,,0.7230084086239051,53.84923098310778,,,,,,7.045998557043596,,-1997533.3333333335,-6276.242047740132,-0.0989236049013702,-17.479281489241114
2020-04-03,43.400001525878906,44.38999938964844,40.40999984741211,42.099998474121094,5554400,0,0,17897151.5900913,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,1.0545972458627801,-3880608.8446842167,,45.399621866887045,11.266961480613077,0.44048185910153026,,39.90243411449207,,,0.0,,0.3336496489587495,45.59643582714549,,70.59183963530508,,,,7.0659708170600855,,-946257.1428571427,-219729.18873570778,-0.039022553558265005,-40.2944020101737
2020-04-06,43.970001220703125,45.75,43.720001220703125,44.79999923706055,3309500,0,0,18109085.663438763,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,0.23145652187491603,-2049714.363308169,,45.351637441666966,25.84548748328541,0.855692273860848,,38.08953774954183,,,0.0,,12.846343516653075,53.88307135177456,,75.59031012988805,,,,7.0856956927624415,,-932016.6666666665,-96745.21043945348,-0.02005532228121154,-15.455386110921019
2020-04-07,46.060001373291016,46.744998931884766,44.5,45.220001220703125,4112800,0,0,16634345.734159376,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,23.142166217584844,-1510128.8602176886,,45.347817053366995,36.476061000997106,0.9039860291225595,,46.63408286368541,,,0.0,,19.000003212376644,55.03053965701626,,76.85155860397974,,,,6.924952963078175,,-225011.90476190485,250805.96895719686,0.18676086925565472,-13.695536066966019
2020-04-08,45.400001525878906,46.099998474121094,44.810001373291016,45.45000076293945,1896200,0,0,16619648.943539413,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,20.568202027936177,-1232092.575616801,,45.3495991319208,48.220759860702174,0.9316638242962674,,50.40396324215622,,,0.0,,18.205461277251896,55.68086681944548,,86.40636566783894,,,,6.296200527092905,,-1060076.1904761908,48202.20112158092,0.1637844247454363,-11.62998081859613
2020-04-09,46.5,47.900001525878906,44.849998474121094,45.06999969482422,3650000,0,0,13496208.715408238,0.0,,,0.7112624956033079,102.21673344286255,0.1409753925221131,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8565008163452177,0.769731357181656,23.42566502394632,-1254222.7646173444,,45.34678198185619,60.13265172183833,0.8407124051127784,,58.5698776312272,,,0.0,,5.205414412449804,54.28408282023246,,83.88253961086782,,,,4.951320100946307,,-789504.7619047621,-20872.618611656035,0.19071296638920288,-23.026864281834406
2020-04-13,44.7400016784668,47.560001373291016,44.459999084472656,46.9900016784668,2664800,0,0,15181051.253927423,0.0,,,0.8888693069557246,107.06740251856193,0.12475782239215391,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2.4325014114379897,0.9259560797703111,32.29659597457333,-344130.75738476065,,45.431242989352555,89.0215283162604,1.142640613440526,,66.0084029634758,,,0.0,,6.698457542264402,59.77473264197822,,84.39787564971712,,,,3.357849372624209,,-1060521.4285714286,83004.52534648226,0.32443468034506806,-12.149527950418115
2020-04-14,47.720001220703125,50.650001525878906,47.56999969482422,50.220001220703125,4886500,0,0,18703138.759067353,0.0,,,1.0878565744866875,188.51740575919231,0.16083738722759375,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.16550006866454936,0.9714095559175234,31.26718859082453,1959801.1741184646,,45.89501450621904,121.72636895411534,1.648495518117218,,65.58003739883392,,,0.0,,9.794489238826145,66.96324683451807,,86.87479557527372,,,,3.204627410869063,,41652.3809523806,449409.9832233463,0.352353079504363,-4.199221041926273
