Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,8.698059671559463,9.500307717767384,8.069772287251029,9.314523696899414,1580000,0.0,0,1169609.9506386365,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.623376577071586,,,,,0.0,,,,,,,,,,,,-124830.1523087015,,
2020-03-16,8.0224818388621,8.368715136735773,7.25401265473253,7.600245952606201,1714300,0.0,0,520253.73990546237,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.2049325128448463,,,,,0.0,,,,,,,,,,,,-449030.87091125676,,
2020-03-17,7.811363422825018,7.980257606032117,6.544655840745285,7.422906398773193,1965900,0.0,0,959690.392137987,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.2802289580659239,,,,,1.0,,,,,,,,,,,,-361376.93385271955,,
2020-03-18,6.789553140270462,7.093562693888164,4.8134890283777585,6.341983318328857,2778500,0.0,0,1906439.667080544,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.12197654629869162,,,,,0.0,,,,,,,,,,,,-450476.08894568356,,
2020-03-19,6.392651291246393,8.866953373312246,5.936636578547232,7.262457370758057,3530500,0.0,0,1570686.6072492958,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.43773740399271227,,,,,0.0,,,,,,,,,,,,107811.02270689211,,
2020-03-20,7.422907139560415,10.876796953576715,7.397573210888837,8.41093921661377,7485200,0.0,0,-1554203.28507578,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.6623345801098165,,,,,2.0,,,,,,,,,,,,1696122.2553201728,,
2020-03-23,8.10693007939491,8.225155622930158,6.392652047298231,7.389128684997559,1996300,0.0,0,-1379411.9559326083,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.4323008999621722,,,,,0.0,,,,,,,,,,,,941183.9634505382,,
2020-03-24,8.039371900423856,8.233600027320337,7.372238407124468,7.617136001586914,2121100,0.0,0,-2294393.003253537,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.4840058451700591,,,,,0.0,,,,,,,,,,,,-177071.2428540534,,
2020-03-25,7.845141879543581,8.503829564827978,7.1991207540419335,8.022480964660645,2122900,0.0,0,-1737903.7377370389,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,0.5859463730507508,,,,,0.0,,,,,,,,,,,,178420.9264536965,,
2020-03-26,8.233600401878357,8.79095168484164,7.566467683581232,8.444718360900879,1595300,0.0,0,-1044773.1758254817,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,8.444718360900879,,0.6912078720193174,,,,,0.0,,,,,,,,,,,,196933.33182739603,,
2020-03-27,8.140708692838093,8.174487533665175,7.684693938996916,8.047816276550293,1885800,0.0,0,-134390.81814494834,0.0,,,,,,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,8.433781042648462,,0.5803053849142407,,,,,0.0,,,,,,,,,,,,-4669.204459504472,,
2020-03-30,7.963369151883448,7.981946989868007,7.135786387789377,7.397572994232178,1456600,0.0,0,-689700.0466108954,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,8.426568133124217,,0.3879935519157237,,,,,0.0,,,,,,,,,,,,-206322.2825257813,,
2020-03-31,7.482019554145003,8.470051584438043,7.397572860785969,8.427827835083008,3565800,0.0,0,2595327.1191505254,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,8.426595485789294,,0.7065012372252926,,,,,0.0,,-9.519497621886629,,,,,,,,,,378916.872798646,,
2020-04-01,8.056260897810722,8.250489829581293,7.3637942831309955,8.16604232788086,1573900,0.0,0,3869435.5538079515,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,171992.30894852863,,8.412344362570353,,0.6231982941981371,,63.22052412467131,,,0.0,,7.444448229739735,47.925256235983795,,,,,,17.40106580846651,,-327811.90476190485,447717.94218356226,,-44.707520369038605
