Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,99.08337871004144,101.28480473561245,95.30119866615598,99.93679809570312,1955900,0.0,0,1074636.7094711994,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.591572226721816,,,,,0.0,,,,,,,,,,,,-204703.37869081495,,
2020-03-16,93.28403733410556,107.11322775095921,89.10424032129858,104.58207702636719,1925300,0.0,0,2458737.543322539,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.7095793684775878,,,,,0.0,,,,,,,,,,,,-115827.41788943275,,
2020-03-17,106.4246862319384,117.7227341736962,106.39559373388701,113.57203674316406,2499400,0.0,0,3126386.0588239892,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.9111753295023157,,,,,2.0,,,,,,,,,,,,304342.5564605829,,
2020-03-18,111.46759248674309,116.79173405306778,109.9450234727378,115.2691650390625,1715800,0.0,0,4079068.096240456,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.9198099059886916,,,,,0.0,,,,,,,,,,,,240489.9624468782,,
2020-03-19,115.40492554341941,115.67646536087324,105.32881540931395,105.72642517089844,1482000,0.0,0,2710960.1721082563,0.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.44333596732700914,,,,,0.0,,,,,,,,,,,,-97050.18850890598,,
2020-03-20,103.91293242486078,108.54852442738661,98.80213830405343,101.02295684814453,2140100,0.0,0,1546149.6191025765,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.249143343226437,,,,,0.0,,,,,,,,,,,,-217896.6801667867,,
2020-03-23,100.5283626374987,100.5283626374987,90.58802228797383,92.8961181640625,2327300,0.0,0,299623.78649371956,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.06628622262708488,,,,,1.0,,,,,,,,,,,,-282427.69911989325,,
2020-03-24,93.91440079834067,103.12739998590001,93.91440079834067,102.53583526611328,1921600,0.0,0,1974452.7312922429,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.42864837110503223,,,,,0.0,,,,,,,,,,,,12181.363468448777,,
2020-03-25,102.23518576128916,103.36983746134703,97.64808653671801,102.01213836669922,1749600,0.0,0,2893736.8481695154,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.41504345011277244,,,,,0.0,,,,,,,,,,,,190466.09414571934,,
2020-03-26,101.85696990602756,103.22437638273003,98.24935249394173,100.34410095214844,1472100,0.0,0,2661300.9278839733,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,100.34410095214844,,0.33671990148431985,,,,,0.0,,,,,,,,,,,,-33006.83891397071,,
2020-03-27,98.34635002743961,102.59402508363148,97.13411323525979,99.91740417480469,1073400,0.0,0,2682271.8911801963,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,100.3423120069457,,0.32417296856355937,,,,,0.0,,,,,,,,,,,,-28635.297037830387,,
2020-03-30,101.14903489261012,107.72420567912138,101.14903489261012,107.28779602050781,1336500,0.0,0,3841358.5500899306,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,100.40557478214947,,0.7336344154001654,,,,,0.0,,,,,,,,,,,,94022.25866058342,,
2020-03-31,107.23930433772918,109.31465288203184,104.31053646005739,107.64661407470703,1401400,0.0,0,4308491.88342327,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,100.55887163524976,,0.7451945011500571,,,,,0.0,,7.714691811139181,,,,,,,,,,103273.61972324451,,
2020-04-01,105.40640546239952,110.332929673819,104.78574087830091,106.28890991210938,1592000,0.0,0,3579287.5047861338,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,1787552.7662886416,,100.76183710038738,,0.6527012889573917,,63.640791300131205,,,0.0,,1.6320510495425151,55.57927305485414,,,,,,9.818710823677893,,-313300.0,-15392.362073809267,,-39.952571650198536
2020-04-02,104.8730218391021,108.02483729037635,104.06809488657777,106.9289779663086,1218000,0.0,0,4122612.9768547085,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,190.3944284836461,1643559.9268209285,,100.80672543529224,0.0,0.6878493412679904,,60.32590954879964,,,0.0,,-5.849202820830205,56.43242322311364,,,,,,10.007319422830514,,-300092.85714285704,-12744.513369898734,0.13227991440638798,-37.71601770190053
2020-04-03,105.33852928919424,110.71116355494695,105.28033689283467,108.93644714355469,1386700,0.0,0,4603005.5578215765,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,257.23533446689015,1806445.2955732471,,101.17512017674613,4.858661863502888,0.8034915146310818,,59.630246623298746,,,0.0,,-5.493852491567694,59.08650222566862,,63.31705418223512,,,,10.114461371249428,,-266521.42857142864,33368.458269951494,0.18895399576575178,-32.38024810119558
2020-04-06,110.55598554104256,112.6701266131345,107.83087984404031,111.71003723144531,1205900,0.0,0,5330412.998701388,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-129.72393068183035,2026192.0086323984,,103.6815517089927,13.363447551412023,0.9679806309214877,,57.03146480559342,,,0.0,,5.659523672416652,62.486768961746854,,70.17023074062217,,,,10.148069099444644,,-302828.57142857136,56736.67370511109,-0.037544110573879186,-19.393041975037352
2020-04-07,111.72942729140927,113.30048866216241,109.46981638749111,110.43960571289062,1358500,0.0,0,4659760.302824157,0.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-144.18689417961755,1490181.5476911212,,104.38755197995852,13.056789307969922,0.8707595692264375,,56.17800132694853,,,2.0,,9.321296028684838,60.025953150260335,,75.7843721074198,,,,10.152619811061083,,-230473.8095238097,15253.316173715219,-0.0424980690899226,-20.87359360150762
2020-04-08,110.23596560951924,111.80702719073014,106.87079501576336,110.68206787109375,956400,0.0,0,5180236.280142836,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,-76.70100139565194,1310425.727750314,,105.17056265513384,13.549062739961947,0.8765676812757831,,57.62170790990203,,,0.0,,19.146063429281014,60.34690913268145,,82.73493410682224,,,,9.911646323433468,,-336364.2857142857,-13349.945205615511,-0.026472122568355294,-11.528562102988268
