Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,27.74628877545359,28.55211640197509,24.16484024766231,27.258813858032227,1197300,0.0,0,491408.197706856,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.5684050499327454,,,,,0.0,,,,,,,,,,,,-253601.5620372573,,
2020-03-16,24.164840614576605,25.458141280636184,21.787154396637998,22.831745147705078,1106600,0.0,0,14581.150680120802,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.22983548306632928,,,,,0.0,,,,,,,,,,,,-439760.60739403416,,
2020-03-17,23.56793261487083,25.726751290237093,21.389216538482433,21.75731086730957,1042900,0.0,0,-851312.5093114085,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.18927249091068116,,,,,1.0,,,,,,,,,,,,-228799.0862407824,,
2020-03-18,20.344626717186227,20.672926228874587,11.908321670024065,12.007805824279785,1346800,0.0,0,-2167538.338382886,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.4406049397623723,,,,,0.0,,,,,,,,,,,,-652582.0365261014,,
2020-03-19,12.097341664209843,17.9072493987012,10.525483181780222,17.25065040588379,2140900,0.0,0,-407499.1628561744,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,0.20547221190978285,,,,,0.0,,,,,,,,,,,,331254.6912707954,,
2020-03-20,18.056476950200206,23.866384959052713,16.932300408659323,20.12575912475586,1726100,0.0,0,-543705.3420369554,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.4630771464725308,,,,,0.0,,,,,,,,,,,,1222442.4817538667,,
2020-03-23,20.891791798840373,22.2547333368166,18.96178764421319,20.722667694091797,1385600,0.0,0,-447425.2110695794,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5133863211251398,,,,,0.0,,,,,,,,,,,,328778.7846258519,,
2020-03-24,24.005662240556205,27.716443760230195,23.398806735344472,25.06020164489746,1396500,0.0,0,-769199.3933048695,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.8605402347287713,,,,,2.0,,,,,,,,,,,,333401.71188444167,,
2020-03-25,28.0845362418049,28.1143823411686,19.89694417088899,25.726749420166016,1831000,0.0,0,-2218.5651599774137,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.8659426969547562,,,,,0.0,,,,,,,,,,,,341006.97700796695,,
2020-03-26,27.34834980707597,32.063925394755465,26.154534283466248,29.686241149902344,1520100,0.0,0,294636.00987686927,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,29.686241149902344,,1.1429316179555586,,,,,0.0,,,,,,,,,,,,282652.64177402615,,
2020-03-27,28.47252799321578,29.089332200979936,25.607366964988543,27.029998779296875,927300,0.0,0,125072.74301372893,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,29.673818141741172,,0.885483194733091,,,,,0.0,,,,,,,,,,,,150979.72980252755,,
2020-03-30,26.0,27.8700008392334,23.5,26.15999984741211,706200,0.14,0,278594.2677226183,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,29.617064642576736,,0.7884853980194566,,,,,0.0,,,,,,,,,,,,-105702.27817549692,,
2020-03-31,26.479999542236328,27.920000076293945,25.469999313354492,26.190000534057617,739800,0.0,0,-26383.90598774195,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,29.539274013564512,,0.7781897322773418,,,,,0.0,,-3.9209825106152487,,,,,,,,,,-21881.636893255818,,
2020-04-01,24.75,25.309999465942383,21.510000228881836,21.639999389648438,810200,0.0,0,-781149.5158826672,0.0,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,-476222.9100661052,,28.877430042100062,,0.340387698691571,,52.55874361094816,,,0.0,,-5.21968754620769,43.019376388417925,,,,,,23.299678460490874,,-524883.3333333334,-139908.01418483825,,-48.39684273372111
2020-04-02,22.309999465942383,22.309999465942383,20.600000381469727,21.520000457763672,955700,0.0,0,-708493.324469533,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-305.3148068183067,-424574.3485141288,,28.614786686693886,0.0,0.33291924155746927,,49.81534782777038,,,0.0,,-1.0907157184689498,42.80003088400221,,,,,,24.43207492952533,,-424459.5238095237,-146056.0113953163,-0.13589942650592213,-48.953981131652576
2020-04-03,21.450000762939453,22.09000015258789,19.110000610351562,19.979999542236328,997200,0.0,0,-1123436.231755734,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-258.7385703698265,-583305.0005783772,,28.573607957579213,0.7741549500004226,0.18478846155780365,,50.523662460179885,,,0.0,,66.3917607814474,39.98253533297291,,48.84839477897675,,,,25.58213207690789,,-330845.238095238,-76660.59074067103,-0.08939859083946133,-56.10399179769607
2020-04-06,21.43000030517578,22.6200008392334,20.690000534057617,22.489999771118164,931000,0.0,0,-317856.9315252709,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-241.19569740964207,-166145.684340182,,28.493682876024188,9.82352731141583,0.45381423567000884,,56.30194114603335,,,0.0,,30.37189463562114,46.19904491494736,,50.163872740141564,,,,25.83260746153094,,-282585.7142857143,45596.46335343225,-0.060370295573678456,-44.45040885022666
2020-04-07,24.979999542236328,27.610000610351562,23.440000534057617,24.5,1016900,0.0,0,-817772.0695610496,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,209.97348000461656,149585.0181012638,,28.466598008196122,16.611527771171893,0.6600842525724995,,62.064320992970046,,,0.0,,21.73453854897612,50.610768179191794,,54.77578093165894,,,,21.5762068523531,,-238621.42857142864,207840.9413914138,0.2211858527453634,-35.11825655710043
2020-04-08,25.270000457763672,26.670000076293945,25.0,25.649999618530273,651900,0.0,0,-962205.3246968996,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,266.7315091000983,235313.55141820974,,28.453992439633467,46.01650424045144,0.7797012463609204,,60.461671286879415,,,0.0,,23.77749813477586,52.98613406192836,,59.347926722873105,,,,19.556333954545273,,-247364.28571428568,121482.84819411136,0.31673002893172186,-42.387554424053576
2020-04-09,27.899999618530273,29.829999923706055,27.25,28.3799991607666,739300,0.0,0,-1053901.9105427458,0.0,,,0.8129001140297529,110.11868060929892,-0.045486998335847253,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.4283523082733147,0.8289604142415841,156.7432083592332,490024.28144065366,,28.453132356888275,58.58457229511066,1.0710549519470147,,58.924723264995876,,,0.0,,13.247289718217765,58.13381048001071,,64.79240101399529,,,,18.30087045304859,,-240778.57142857148,109285.09657532357,0.1944128128926058,-28.11698597686009
2020-04-13,29.079999923706055,29.299999237060547,25.670000076293945,26.799999237060547,915100,0.0,0,-1399270.5215144693,0.0,,,0.7181632874679641,81.77866200438389,-0.08260892464407135,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.410784769058228,0.7556032091065615,123.30423678065368,213469.67978007311,,28.44441429895841,69.43725800746017,0.8880305142048769,,51.50230333124487,,,0.0,,4.171727253087248,54.41997398343854,,62.953232243166724,,,,17.33799188688627,,-241104.7619047619,27739.34924036314,0.15086877730816584,-40.635762869586145
2020-04-14,28.139999389648438,29.489999771118164,26.770000457763672,27.1299991607666,659300,0.0,0,-1884050.5179802636,0.0,,,0.7206888244515445,83.57025615564584,-0.08461000849652778,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.5396296977996826,0.7709246478830045,33.00979349184612,214055.28976854865,,28.431320491759614,85.33515571929885,0.9051625890755435,,49.05258342754641,,,0.0,,-8.610864461512168,55.06564890807156,,64.38632605661294,,,,17.356709411314153,,-185980.9523809523,-42828.12510718913,0.04820155525688019,-38.08827298371493
2020-04-15,26.56999969482422,27.989999771118164,25.530000686645508,27.079999923706055,774300,0.0,0,-1682606.7326826705,0.0,,,0.6990571336597468,59.12407032428136,-0.03749432702655976,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.4034963130950935,0.768603252650882,51.670898790163406,177945.33276504438,,28.41864297614456,94.69301834354607,0.8846993505564034,,52.82148135102643,,,0.0,,0.18498389444056185,54.93866412885733,,60.933904549115105,,,,17.45005461615163,,-98835.71428571432,6691.248292116339,0.061153157911658984,-38.474250499353616
2020-04-16,26.489999771118164,27.079999923706055,24.540000915527344,25.219999313354492,650000,0.0,0,-1984575.9207300479,0.0,,,0.5628737166300748,27.867657780087047,0.008520024664383553,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.7728873252868667,0.682246003971539,-116.5607334733162,-20189.77144832129,,28.26407361680751,116.19962829187668,0.6027671687197032,,42.4389661680152,,,0.0,,-3.5932742337175783,50.292363120035546,,60.14457890852066,,,,17.701979386530233,,-125052.38095238095,-46072.50593691743,-0.19852792395995722,-43.0037397913695
2020-04-17,27.079999923706055,28.200000762939453,25.510000228881836,25.75,722800,0.0,0,-2578400.604652662,0.0,24.0,,0.5827045542456633,43.54537702163526,-0.10824037543298053,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-3.2020812988281264,0.5827331565144468,-41.55265952279708,37420.83823106361,,28.11591391350141,117.71786011265591,0.6048927450027132,,50.176367255189554,,,0.0,,-1.6800325509174319,51.54976234265056,,60.15410216353603,,,,17.71371181047771,,-89278.57142857148,-29455.79879182903,-0.0776763977910857,-38.059703218668815
2020-04-20,24.81999969482422,26.010000228881836,24.020000457763672,25.020000457763672,478600,0.0,0,-2575995.5242037545,0.0,24.0,,0.4933796193475417,-7.23960247556452,-0.10804996502524344,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-3.566792297363282,0.46238353838859186,-22.67951561804877,-17836.107361132137,5.340295940613991,27.856171055239546,115.29654056434086,0.4683549820495881,,51.323009345299,,,1.0,,15.619229036263599,49.68548532532891,,58.02238537091973,,,,17.711844367710157,,-171588.09523809515,1621.6416526060693,-0.09041419396033623,-44.8694008772025
