Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,37.90999984741211,38.34000015258789,33.33000183105469,35.68000030517578,783800,0,0,-48498.833890055976,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.4896872429424904,,,,,0.0,,,,,,,,,,,,-314177.32596242,,
2020-03-16,34.20000076293945,34.709999084472656,27.389999389648438,27.700000762939453,984200,0,0,-949337.2589411532,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.08164366142932059,,,,,0.0,,,,,,,,,,,,-542674.0663197048,,
2020-03-17,28.190000534057617,29.950000762939453,24.299999237060547,28.600000381469727,1110000,0,0,-369779.74344943545,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,,,,,,,,0.29050798063118183,,,,,1.0,,,,,,,,,,,,-184055.98394605544,,
2020-03-18,27.0,27.360000610351562,22.59000015258789,24.56999969482422,1459200,0,0,-617568.8190212201,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.06278383862841261,,,,,0.0,,,,,,,,,,,,-169549.61207557196,,
2020-03-19,24.5,25.450000762939453,22.09000015258789,24.920000076293945,1179300,0,0,189689.69513175823,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.16053874014183472,,,,,0.0,,,,,,,,,,,,-188815.4139279458,,
2020-03-20,24.079999923706055,26.360000610351562,23.59000015258789,23.739999771118164,971900,0,0,-676950.6621552075,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.07669664532523256,,,,,0.0,,,,,,,,,,,,-29221.794974284858,,
2020-03-23,23.81999969482422,25.040000915527344,22.549999237060547,23.959999084472656,751300,0,0,-577381.4482733957,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,0.1330888518349983,,,,,0.0,,,,,,,,,,,,-39058.63841610083,,
2020-03-24,25.0,25.360000610351562,23.059999465942383,24.709999084472656,1155600,0,0,-74947.87397847162,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.241065150893994,,,,,0.0,,,,,,,,,,,,43135.10973775413,,
2020-03-25,24.25,25.93000030517578,22.799999237060547,25.049999237060547,1344600,0,0,513582.45675444964,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,0.3062499279777305,,,,,0.0,,,,,,,,,,,,54673.97196466243,,
2020-03-26,25.0,25.979999542236328,24.520000457763672,25.049999237060547,1162300,0,0,195142.68615899072,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,25.049999237060547,,0.3119009468992898,,,,,0.0,,,,,,,,,,,,18501.182602509765,,
