Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,84.17060703972678,86.46315311078251,77.30243696073956,85.04215240478516,7038700,0.0,0,4855028.438632673,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.6149603487062635,,,,,0.0,,,,,,,,,,,,1322253.5836984946,,
2020-03-16,74.72568386324147,74.7351592244983,61.87984048048328,62.32508850097656,5743600,0.0,0,-490708.76520821825,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.05866326544509879,,,,,0.0,,,,,,,,,,,,-282159.80861432804,,
2020-03-17,63.04507039549043,63.9166157999252,51.11813350595063,55.76007080078125,10561600,0.0,0,-3391043.3421721924,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.0586846283672695,,,,,1.0,,,,,,,,,,,,-2646778.1345477393,,
2020-03-18,51.629693300705156,52.614921342927715,41.22796836845663,42.55423355102539,12166900,0.0,0,-12723728.449746963,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.3812453030166725,,,,,0.0,,,,,,,,,,,,-3994033.0328515978,,
2020-03-19,43.87103153267951,56.36636361017081,43.10368981954238,52.80438995361328,10392200,0.0,0,-7913621.957895165,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.17726106166539565,,,,,0.0,,,,,,,,,,,,-378328.06209790474,,
2020-03-20,55.86427538687304,60.07043616125552,43.7289280982501,45.60464859008789,9258400,0.0,0,-15046615.840580296,0.0,,,,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.018287114027872153,,,,,0.0,,,,,,,,,,,,1240839.288663308,,
2020-03-23,45.94569444563802,49.37504217384242,43.624725652945315,47.51826858520508,10694900,0.0,0,-11258468.810074031,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,0.09281004611277491,,,,,0.0,,,,,,,,,,,,-813589.3018725254,,
2020-03-24,51.58232764071364,54.1685485566641,49.791867284578075,51.84757995605469,7401800,0.0,0,-11707067.009074107,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.2893653851990205,,,,,0.0,,,,,,,,,,,,1123135.316834254,,
2020-03-25,52.785440636889994,65.8775934996206,51.847578582254684,59.05678939819336,8662200,0.0,0,-11467262.799152954,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6080521578646926,,,,,0.0,,,,,,,,,,,,1878811.9078567552,,
2020-03-26,59.38835673289202,62.04089074445811,55.324297332855245,58.829429626464844,8730100,0.0,0,-11085554.606750056,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,58.829429626464844,,0.5921173246259266,,,,,0.0,,,,,,,,,,,,1170836.498007983,,
2020-03-27,57.237908283377294,57.27580250389354,52.766495062421576,55.106407165527344,4837800,0.0,0,-10902616.092318706,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,58.499724836809236,,0.4212177534130509,,,,,0.0,,,,,,,,,,,,-339769.9122105506,,
2020-03-30,54.538009884959244,54.94536373277107,51.92337002843374,53.30647659301758,4848900,0.0,0,-11313025.428764392,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,58.365506528442765,,0.3362504014246597,,,,,0.0,,,,,,,,,,,,-464539.0784138157,,
2020-03-31,53.628567817981875,54.30117395897853,50.019224683709254,51.970733642578125,6507700,0.0,0,-11888924.72996592,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,58.289409083032425,,0.27399798105106876,,,,,0.0,,-38.88826637970438,,,,,,,,,,-321447.37581547943,,
2020-04-01,48.077195656662326,48.62665105593008,43.577359609979645,44.56258773803711,8728800,0.0,0,-17211361.925899565,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-32279690.05859808,,58.17534822543121,,-0.1106891249714046,,24.977043002244244,,,0.0,,-28.49976019313817,28.295079345602147,,,,,,37.556413968516495,,-1560123.8095238097,-1407311.6822421383,,-92.62826185285736
2020-04-02,43.69103658150019,45.926745067780054,40.02485555766568,41.692161560058594,7679000,0.0,0,-20551669.11559412,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-326.9011846466565,-30817163.28175507,,57.22176018259755,0.0,-0.24137640028636423,,23.62175958588442,,,0.0,,-25.229360434251014,26.648132395722314,,,,,,38.584547400415524,,-662492.8571428573,-1738873.2677827138,-0.4994313877554162,-95.19650989401713
2020-04-03,41.881631240911034,44.63837277097875,41.86268412907991,44.25944137573242,6759100,0.0,0,-15638046.41801757,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-109.06526047569079,-23935782.66977278,,57.11959325262751,-7.2289319351774,-0.07764296513103901,,28.928952280721106,,,0.0,,4.0071402594112575,30.54218079600352,,9.518289950251855,,,,38.50508603145267,,-651228.5714285718,-78424.86360704718,-0.3967225626816441,-83.62035840236993
2020-04-06,47.935089965028624,52.52018580971941,47.32879689693591,51.212867736816406,8207200,0.0,0,-11564391.821063347,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,14.484465348172844,-12363790.741135461,,57.031078152297844,-1.554143660171917,0.35213150034333707,,37.066304981270214,,,0.0,,-3.0139960298660182,39.85535027154485,,21.48635313314494,,,,37.557386737858316,,-656923.8095238097,1705606.1960913453,-0.15928997365642839,-56.72407230417811
2020-04-07,55.89269829485918,60.95145768823839,55.89269829485918,57.67368698120117,8424900,0.0,0,-14057145.056700373,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,121.76369808290217,-2821569.7706850795,,57.04573414640729,8.879923930890413,0.7410955998559078,,46.10010458883866,,,0.0,,26.46449159074645,46.97025827639584,,42.64078269647311,,,,35.10920157648102,,-141004.7619047612,2352253.954683178,0.11445470642475075,-31.733221204032642
2020-04-08,58.73469759746836,61.90826448987938,57.12422935994071,59.596771240234375,6692100,0.0,0,-13831863.78014384,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,101.70272687307504,-579992.3506049118,,57.05960383627546,23.168756211025283,0.8509821776424215,,44.84821528553637,,,0.0,,25.418650583556758,48.90767636045189,,62.41603164552399,,,,33.61565272946132,,100954.7619047612,1285995.988286735,0.09110956483156718,-24.2946115552173
2020-04-09,62.52403723798228,70.26375344630628,62.43878065644356,64.57975006103516,9096200,0.0,0,-17950490.970363446,0.0,,,0.7689269903306605,105.38904851253636,-0.11051073630374443,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4.79161262512207,0.5287638823383483,116.41046434500404,5978031.120876942,,57.23113050205306,34.08335851475857,1.1347182041622754,,54.27697173143422,,,2.0,,24.556922648602086,53.6345473852676,,75.05839156144346,,,,31.247417639789468,,408873.8095238097,983690.3148425417,0.1814554210602266,-18.796992556419696
2020-04-13,64.98710213268077,65.29024868242617,58.914692161543734,61.860904693603516,4123200,0.0,0,-18262941.75265985,0.0,,,0.8222781404691721,95.37498180428308,-0.1449251688620026,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.723315238952637,0.6290941544485316,90.22147994171878,3522549.072323931,,57.36296846783207,47.6760861181499,1.0364625882679837,,56.72048717788105,,,0.0,,4.748167524826432,50.869179102340134,,76.37339495911385,,,,28.958621628054566,,-555619.0476190476,586958.303389017,0.20378934313827257,-27.78821101102147
2020-04-14,62.62824254273694,65.744971833331,62.22088869071197,64.18186950683594,5105100,0.0,0,-17686562.1965592,0.0,,,0.8963213289928976,122.49936220204997,-0.10823300021432145,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.9074537277221708,0.798872169155509,76.34705227339398,4712007.414568061,,57.72409363218,68.52021795433956,1.2417446776701329,,56.25919880140517,,,0.0,,9.098235210431584,53.09258419890249,,77.76733778270325,,,,27.014841011589375,,-920569.0476190476,17949.56412820943,0.14285688068412083,-20.112783084449106
2020-04-15,60.43990046150507,60.91357101247775,56.65056496405908,57.99578094482422,5168400,0.0,0,-19593125.738426298,0.0,,,0.6676521944372391,56.028109168489635,-0.10556140959960301,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.004262351989744673,0.5942982926606399,-33.917590206463395,-528590.8052132851,,57.729904143670105,80.1893492668178,0.82275098156819,,48.666106707789005,,,0.0,,5.243262858015478,46.988899260630085,,70.50961172353114,,,,25.89470740041476,,-1980278.5714285718,-306611.0136152089,-0.089579665104778,-40.57017073393601
2020-04-16,58.744169100469435,59.056790998416,49.365566368948905,50.30342483520508,8421600,0.0,0,-26384742.085915025,0.0,,,0.37106132565609734,-13.705710799480634,-0.09123180265052173,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.7274648666381864,0.3399121659589517,-70.4997993866405,-9707641.57772118,,57.58038512094286,84.44005620526175,0.21929176138421794,,49.30515988655536,,,0.0,,-5.633558902682866,40.71996680940876,,57.76942092583669,,,,25.250359748590075,,-525442.8571428573,-1615161.0780102029,-0.1824384620315873,-66.00878340410483
