Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,97.94999694824219,100.0,89.08999633789062,99.83000183105469,1471200,0,0,1425351.9299354684,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.6614727127441846,,,,,0.0,,,,,,,,,,,,-411068.6921661434,,
2020-03-16,88.94999694824219,96.2699966430664,83.0199966430664,85.16999816894531,1457200,0,0,441054.9070691654,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.2077814970368731,,,,,0.0,,,,,,,,,,,,-582965.7215101165,,
2020-03-17,86.87000274658203,94.73999786376953,81.70999908447266,86.80999755859375,1590900,0,0,95525.33417477307,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.34157926063054883,,,,,1.0,,,,,,,,,,,,-183355.617809362,,
2020-03-18,83.0,91.97000122070312,78.05999755859375,82.37999725341797,1838200,0,0,-600903.0844622258,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.23747552671681246,,,,,0.0,,,,,,,,,,,,-63171.43626208137,,
2020-03-19,81.08999633789062,90.80999755859375,78.38999938964844,87.22000122070312,1083100,0,0,-143942.47364371817,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,0.45494868055443805,,,,,0.0,,,,,,,,,,,,-30170.68968257468,,
2020-03-20,88.4800033569336,94.83999633789062,85.62000274658203,87.01000213623047,982100,0,0,-829921.1397068733,0.0,,,,,,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,,,,,0.4386858631496631,,,,,0.0,,,,,,,,,,,,61269.88371381242,,
2020-03-23,87.5999984741211,93.58000183105469,85.37999725341797,89.37999725341797,713400,0,0,-847321.5282475292,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5323284036675384,,,,,0.0,,,,,,,,,,,,17067.1295524734,,
2020-03-24,92.79000091552734,97.9000015258789,91.27999877929688,92.72000122070312,967700,0,0,-1394027.6356790403,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.6562738827002443,,,,,2.0,,,,,,,,,,,,55593.30503535409,,
2020-03-25,91.81999969482422,99.44000244140625,91.81999969482422,94.52999877929688,958600,0,0,-1670789.2666467614,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,,,,,,,,0.7159767080381062,,,,,0.0,,,,,,,,,,,,54874.51735791344,,
2020-03-26,95.4000015258789,103.08999633789062,95.4000015258789,99.01000213623047,815400,0,0,-1720624.5114969166,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,99.01000213623047,,0.8950456551055419,,,,,0.0,,,,,,,,,,,,57356.69987853957,,
2020-03-27,96.83000183105469,98.98999786376953,94.0,94.44000244140625,518400,0,0,-2147602.7226095395,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,98.9189481069519,,0.6585699075159321,,,,,0.0,,,,,,,,,,,,14715.9988457732,,
2020-03-30,94.77999877929688,98.68000030517578,93.01000213623047,98.5199966430664,544900,0,0,-1633456.1701012575,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,98.87872004564244,,0.8561612261616975,,,,,0.0,,,,,,,,,,,,-387.00902017117187,,
2020-03-31,98.83999633789062,102.61000061035156,95.45999908447266,97.81999969482422,978300,0,0,-1965941.3157266276,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,98.79597938762623,,0.7969009093507424,,,,,0.0,,-2.013424921730499,,,,,,,,,,16589.809383513242,,
2020-04-01,95.69000244140625,99.87999725341797,92.36000061035156,93.0,1096100,0,0,-2875471.197602851,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-3518638.1053956244,,98.37549160841527,,0.5269891127386884,,53.230359618984636,,,0.0,,9.193380297511458,46.09072807841264,,,,,,9.586629835961844,,-199435.71428571432,-60960.36657871885,,-40.311613383842385
2020-04-02,92.1500015258789,98.29000091552734,91.52999877929688,95.9800033569336,978900,0,0,-2565581.8175812494,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,-13.985862499518921,-2599243.3351816363,,98.23266690841889,0.0,0.6828445144722669,,56.51931763478507,,,0.0,,10.563306135506346,50.97102708378384,,,,,,9.621456720615356,,-19604.761904761894,-22642.483664041538,0.005598184859514355,-28.405886247337484
2020-04-03,94.69000244140625,97.4800033569336,92.0,93.62000274658203,1801700,0,0,-3302041.9779655035,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,300.5682605114758,-2835353.3015371757,,98.06468803049451,5.085646725269726,0.5470190674740367,,54.80172477634653,,,0.0,,13.644095493943114,47.31771499388594,,64.482641881954,,,,8.904259460271408,,230254.7619047619,-12934.09239365474,0.08557999029137664,-37.834574722958166
2020-04-06,98.27999877929688,101.30999755859375,96.19999694824219,101.06999969482422,954400,0,0,-2437291.267132959,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,537.1907177582422,-1414548.9602601016,,98.26302365786441,17.21195147944789,0.960151148148284,,63.82920129022167,,,0.0,,15.879383490347355,57.63946791276227,,75.2297454755016,,,,8.193653308972676,,228485.71428571432,31647.237352067867,0.18517538852521132,-8.07030260319953
2020-04-07,104.37000274658203,106.38999938964844,99.33000183105469,99.9800033569336,871700,0,0,-3148479.503380592,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,948.173245354678,-1348206.2241856954,,98.3261997888727,25.818100046666018,0.8718631336985935,,74.23673267296064,,,0.0,,14.906333642419819,55.913398052235664,,77.06742656662023,,,,6.737559060017257,,261788.09523809527,66547.35991961439,0.33392592962725687,-22.892842973981583
