Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,32.709999084472656,33.97999954223633,29.0,32.5,5085900,0,0,2062956.0788125722,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.567603769860876,,,,,0.0,,,,,,,,,,,,-1957437.7551408939,,
2020-03-16,28.0,29.8799991607666,26.25,26.31999969482422,3474800,0,0,-1277830.1493914984,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.1126596352466561,,,,,0.0,,,,,,,,,,,,-2640560.0902599692,,
2020-03-17,27.010000228881836,27.450000762939453,23.559999465942383,25.15999984741211,5085200,0,0,-2179832.6033491474,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.1312000020345049,,,,,1.0,,,,,,,,,,,,-884866.347200374,,
2020-03-18,22.899999618530273,23.5,18.559999465942383,21.739999771118164,4961200,0,0,-753738.7537756173,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,-0.044915889828600876,,,,,0.0,,,,,,,,,,,,-898495.9017137341,,
2020-03-19,20.920000076293945,25.3700008392334,19.079999923706055,23.6200008392334,5508000,0,0,1689396.8274592285,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,0.27756718085235327,,,,,0.0,,,,,,,,,,,,-198063.1086386115,,
2020-03-20,24.229999542236328,26.389999389648438,21.860000610351562,22.030000686645508,3484900,0,0,-1533943.161273517,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.14785334302440983,,,,,0.0,,,,,,,,,,,,241724.09889849366,,
2020-03-23,22.100000381469727,22.110000610351562,19.200000762939453,19.889999389648438,5280200,0,0,-4310135.642517921,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.033418956989319154,,,,,0.0,,,,,,,,,,,,-747509.2772572945,,
2020-03-24,22.270000457763672,23.860000610351562,21.780000686645508,23.739999771118164,3863500,0,0,-892427.2380792997,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.414436053512688,,,,,0.0,,,,,,,,,,,,234916.6366989364,,
2020-03-25,24.329999923706055,26.989999771118164,24.0,25.530000686645508,5415100,0,0,-765649.4103390487,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6193893322965719,,,,,0.0,,,,,,,,,,,,1156136.6149056596,,
2020-03-26,26.450000762939453,28.219999313354492,25.799999237060547,27.969999313354492,4623800,0,0,2902820.0412667105,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,27.969999313354492,,0.9042075341356697,,,,,0.0,,,,,,,,,,,,850213.7014695127,,
2020-03-27,26.18000030517578,26.299999237060547,24.030000686645508,24.440000534057617,3164600,0,0,881379.8171909137,0.0,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,27.77009085639455,,0.44466168450843113,,,,,0.0,,,,,,,,,,,,42520.60007529805,,
2020-03-30,24.520000457763672,25.399999618530273,23.329999923706055,23.5,2516700,0,0,-1221948.9218579547,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,27.687363756155047,,0.3203875883407409,,,,,0.0,,,,,,,,,,,,-496189.6429500612,,
2020-03-31,23.229999542236328,23.899999618530273,21.520000457763672,21.770000457763672,3961300,0,0,-4351042.746053241,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,27.550491456415216,,0.09416780695691665,,,,,0.0,,-33.01538320688101,,,,,,,,,,-388415.2359449775,,
2020-04-01,20.90999984741211,21.200000762939453,19.139999389648438,19.530000686645508,4177400,0,0,-6946704.559662813,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-5536452.88769975,,27.425873046537234,,-0.1996204976512887,,42.78792599765768,,,0.0,,-25.79786887122933,31.16461609145668,,,,,,27.649414417696544,,-776957.1428571427,-721447.9151685722,,-93.7094603378481
2020-04-02,19.489999771118164,20.59000015258789,19.389999389648438,19.8799991607666,3197600,0,0,-7532934.106381699,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-63.788868597910486,-4585651.743621271,,27.197837638989398,0.0,-0.13274410742722992,,40.800525616330034,,,0.0,,-20.985694430314535,32.38969592698034,,,,,,28.70969304169173,,-415111.90476190485,-372524.47829398327,-0.42813688772704195,-88.33922499637738
2020-04-03,19.8799991607666,20.280000686645508,17.719999313354492,17.81999969482422,4898300,0,0,-12048553.164360596,0.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-41.92764768620491,-5372057.977964743,,26.87746392449257,-1.546920011775228,-0.41054690886715667,,40.93038179061243,,,0.0,,-18.03127928962405,29.10628614692466,,6.301233083733496,,,,29.874437952540134,,-204457.14285714272,-450265.8041154129,-0.3608668776384225,-99.04761541457404
2020-04-06,19.40999984741211,22.479999542236328,19.290000915527344,22.239999771118164,4637400,0,0,-8108943.394904735,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-18.67783116062423,-1676434.2162832743,,26.80486665178119,9.7344314954006,0.30128083424252966,,49.24133761071041,,,0.0,,-5.842510665042056,42.56076087673495,,18.553594332107217,,,,29.76619549181403,,-19138.09523809515,642671.5786241888,-0.17632850593942528,-56.952376592726935
