Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,436.2200012207031,441.3900146484375,397.8699951171875,414.7200012207031,1382000,0,0,-311839.24704641587,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.46239275843627425,,,,,0.0,,,,,,,,,,,,-196500.7322178833,,
2020-03-16,331.9100036621094,361.6300048828125,329.010009765625,338.44000244140625,1911700,0,0,-1118246.8070244119,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,-0.05253472739933373,,,,,0.0,,,,,,,,,,,,-546532.9316177925,,
2020-03-17,342.92999267578125,343.3399963378906,295.95001220703125,315.010009765625,1805200,0,0,-1471363.2824651266,0.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.042742602972637204,,,,,1.0,,,,,,,,,,,,-476594.39432507096,,
2020-03-18,276.45001220703125,283.3699951171875,200.05999755859375,245.7899932861328,3571100,0,0,-1122012.1354642452,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.3195546726316897,,,,,0.0,,,,,,,,,,,,-909683.1878818525,,
2020-03-19,242.10000610351562,312.7799987792969,241.2100067138672,305.7699890136719,1744900,0,0,281075.16658668383,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,0.35645259291546605,,,,,0.0,,,,,,,,,,,,-358903.32588358625,,
2020-03-20,313.4800109863281,337.2799987792969,301.0799865722656,302.510009765625,2093800,0,0,-1647300.4382428478,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.32940262252383357,,,,,0.0,,,,,,,,,,,,403483.8447788842,,
2020-03-23,301.0799865722656,319.5199890136719,280.82000732421875,301.5299987792969,1265500,0,0,-1558355.653399761,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.34105079599350835,,,,,0.0,,,,,,,,,,,,-26422.84631893711,,
2020-03-24,323.6000061035156,345.6199951171875,312.0,325.67999267578125,980300,0,0,-1740886.5416956055,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,0.5706156276777958,,,,,0.0,,,,,,,,,,,,74413.99849805442,,
2020-03-25,344.9100036621094,368.9800109863281,331.4599914550781,350.0899963378906,1099600,0,0,-1748506.6533547458,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.7943102457493695,,,,,0.0,,,,,,,,,,,,160929.70354479091,,
2020-03-26,361.29998779296875,408.760009765625,356.07000732421875,402.0899963378906,1079600,0,0,-942239.2084097516,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,402.0899963378906,,1.2659770982143488,,,,,2.0,,,,,,,,,,,,242772.4745326297,,
