Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,48.48715567136201,48.88819917648798,41.44443709206329,48.780601501464844,1524600,0.0,0,1480524.5947197808,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,,,,,,,,0.6618484186802858,,,,,0.0,,,,,,,,,,,,-724287.6918768709,,
2020-03-16,43.342057673844685,43.919169383357186,38.500188752526654,39.14577102661133,1423200,0.0,0,396426.2653365629,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.1656526871955538,,,,,0.0,,,,,,,,,,,,-1008887.0562068222,,
2020-03-17,39.95763684577715,40.89666863644481,35.85916806330201,39.46855926513672,2142900,0.0,0,1324320.717509163,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.29808719950732115,,,,,1.0,,,,,,,,,,,,-263431.37781843496,,
2020-03-18,36.093930767332985,37.19924353008559,32.05414847851607,33.85395431518555,1870400,0.0,0,762490.0648838743,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.033460436052909416,,,,,0.0,,,,,,,,,,,,-248404.064399232,,
2020-03-19,33.32574703086918,39.62506511232641,31.69222965432688,36.37759017944336,1583000,0.0,0,1049420.6213736357,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,0.27381310601774267,,,,,0.0,,,,,,,,,,,,-148069.59120476097,,
2020-03-20,37.3655299605039,39.351183852982174,34.64625592538544,35.20380783081055,1883200,0.0,0,-387446.61244820524,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.20463282915526923,,,,,0.0,,,,,,,,,,,,57239.877088351204,,
2020-03-23,34.77341570837522,35.26249329564172,31.594411391142945,34.30390167236328,1479800,0.0,0,318911.6154977621,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.17097511074343788,,,,,0.0,,,,,,,,,,,,-98592.28138766073,,
2020-03-24,37.023173296882305,37.68831913982518,35.223367556807354,36.68082046508789,1303500,0.0,0,556853.5480957048,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.39111115443833905,,,,,0.0,,,,,,,,,,,,52491.81165698783,,
2020-03-25,37.473130321693425,42.59866192690314,35.595070233679195,40.51519012451172,1436400,0.0,0,1138635.224228964,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.730581843513874,,,,,0.0,,,,,,,,,,,,240471.29798118302,,
2020-03-26,41.444431459563816,45.21033091673896,41.1118585689479,44.87775802612305,1301600,0.0,0,2228997.0663533937,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,44.87775802612305,,1.0945160592202547,,,,,2.0,,,,,,,,,,,,290304.5537660819,,
