Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,15.569999694824219,16.229999542236328,14.0600004196167,16.229999542236328,9506100,0,0,9506100.0,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.6666666666666669,,,,,0.0,,,,,,,,,,,,-2306559.2138598203,,
2020-03-16,13.25,13.949999809265137,11.479999542236328,11.479999542236328,7939900,0,0,1566200.0,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.02262942019882468,,,,,0.0,,,,,,,,,,,,-4661884.545202445,,
2020-03-17,11.800000190734863,13.199999809265137,10.850000381469727,13.1899995803833,9038500,0,0,10527774.816377068,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,0.4532665169984401,,,,,1.0,,,,,,,,,,,,-977426.7421233186,,
2020-03-18,12.020000457763672,13.380000114440918,11.869999885559082,13.359999656677246,7852500,0,0,18172256.841829434,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5203921210037067,,,,,0.0,,,,,,,,,,,,1447534.5770075463,,
2020-03-19,13.09000015258789,13.949999809265137,12.09000015258789,12.710000038146973,8261000,0,0,15418590.175162768,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.38127416059619745,,,,,0.0,,,,,,,,,,,,-300712.28193426935,,
2020-03-20,13.069999694824219,13.149999618530273,11.699999809265137,12.039999961853027,10161100,0,0,10022698.45779241,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.2431555151762498,,,,,0.0,,,,,,,,,,,,-937556.0146698882,,
2020-03-23,12.0,12.170000076293945,10.510000228881836,10.579999923706055,7546300,0,0,3112830.6814164193,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.06916610551858919,,,,,0.0,,,,,,,,,,,,-1450719.2472132407,,
2020-03-24,11.510000228881836,13.829999923706055,11.359999656677246,13.720000267028809,5540800,0,0,8160119.724471915,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.7320160082484258,,,,,0.0,,,,,,,,,,,,729351.3009490672,,
2020-03-25,13.90999984741211,15.670000076293945,13.529999732971191,14.899999618530273,7120600,0,0,10156547.406780768,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.971146717298617,,,,,2.0,,,,,,,,,,,,2256846.9891705033,,
2020-03-26,14.6899995803833,15.800000190734863,14.020000457763672,15.15999984741211,6986500,0,0,12119043.95801532,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,15.15999984741211,,0.9920275431020641,,,,,0.0,,,,,,,,,,,,734324.9620264493,,
2020-03-27,14.170000076293945,14.449999809265137,13.0600004196167,13.90999984741211,5186100,0,0,13275654.703528248,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,15.129508794981241,,0.6681568595877426,,,,,0.0,,,,,,,,,,,,-305701.5996045752,,
2020-03-30,13.960000038146973,14.109999656677246,12.890000343322754,13.210000038146973,5773300,0,0,10530969.913235094,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,15.081826427662785,,0.4833852824876739,,,,,0.0,,,,,,,,,,,,-718146.4248872218,,
2020-03-31,12.960000038146973,13.649999618530273,12.789999961853027,12.949999809265137,5512000,0,0,7069945.5202324055,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,15.068402362379421,,0.41327328413714026,,,,,0.0,,-20.209487526080615,,,,,,,,,,-399020.2389559354,,
2020-04-01,12.0,12.180000305175781,10.859999656677246,11.069999694824219,5569400,0,0,3272626.7897167928,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-7492814.7580456715,,14.931636557642511,,-0.08390816235414995,,50.430832138433416,,,1.0,,-3.5714273846760145,34.732708727588616,,,,,,21.02449137880699,,-1667059.5238095243,-917018.3221490986,,-90.20979837121745
2020-04-02,10.720000267028809,11.300000190734863,10.180000305175781,11.010000228881836,8042900,0,0,7150453.697725529,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-5.230472786063303,-6491351.178986004,,14.83277354897419,0.0,-0.07133614693804721,,46.99720817504921,,,0.0,,-16.52766808835724,34.531864670976915,,,,,,22.261083553024243,,-806011.9047619049,-852123.2846088381,-0.261904747380327,-85.23131778278523
2020-04-03,10.649999618530273,11.210000038146973,10.479999542236328,11.09000015258789,4702000,0,0,10306593.208425617,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,0.2855500786639778,-5510278.204664308,,14.778682952166916,-0.7981704596531927,-0.029874185996927056,,52.92908898977105,,,0.0,,-16.99101468879772,35.07098537898625,,13.583684093046417,,,,22.04216123696933,,-844733.333333333,-9427.29613611252,-0.10447763967642909,-83.80783156685808
2020-04-06,11.920000076293945,13.300000190734863,11.869999885559082,13.039999961853027,6567400,0,0,14485846.16121408,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,4.273197319626613,-2893605.782945427,,14.707609461232643,16.573272197476967,0.5612245003646588,,51.81330986036813,,,0.0,,2.5963801944580194,46.6116805959296,,27.283508430995862,,,,21.78910660075345,,-335559.52380952425,1188937.910395643,0.04253542802858523,-49.11032535736909
2020-04-07,14.119999885559082,15.130000114440918,13.979999542236328,14.470000267028809,8662400,0,0,13205324.711596668,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,5.317164715384536,-710628.5791596968,,14.704498799459655,24.42688798355914,0.9758139647199737,,52.78445832229254,,,2.0,,20.182726851120268,53.18340348848277,,47.8054545081221,,,,21.305144973227574,,-186909.52380952425,2104713.9492196213,0.09771989892449529,-23.665479551406527
2020-04-08,15.149999618530273,15.59000015258789,14.710000038146973,14.970000267028809,5924300,0,0,10781750.06535019,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,5.313206554259312,-185945.92499402596,,14.70578316072479,30.567079716892977,1.1100357216191055,,52.110206113069765,,,0.0,,41.49338728714269,55.257239105920526,,70.81850429133654,,,,20.504216108296976,,387430.9523809524,1154651.0503208488,0.1175483330136402,-14.768682217214772
2020-04-09,15.649999618530273,16.65999984741211,15.100000381469727,15.699999809265137,7291400,0,0,9099115.867311092,0.0,,,0.8780141792783154,142.04218684183596,0.06354819039289233,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1.660499715805054,0.8518518354994105,7.035285990077921,601006.1588996866,,14.715985318685632,40.796202323592524,1.297958958357652,,62.1199308089045,,,0.0,,14.431483263120338,58.17059439688416,,82.25034059377326,,,,19.308463039270606,,833742.8571428573,560268.7630537397,0.22651712608522567,-14.814816450058958
