Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,16.1299991607666,17.280000686645508,14.6899995803833,17.079999923706055,6387700,0,0,5401179.283588376,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6409265537305648,,,,,0.0,,,,,,,,,,,,-1921228.0512783986,,
2020-03-16,15.039999961853027,18.739999771118164,15.039999961853027,16.809999465942383,6074200,0,0,5138509.846815568,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.532326370652671,,,,,0.0,,,,,,,,,,,,-2054342.5694575536,,
2020-03-17,17.15999984741211,17.860000610351562,15.399999618530273,15.600000381469727,4998300,0,0,952944.3267802745,0.0,,,,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.3457143847406912,,,,,1.0,,,,,,,,,,,,-455803.0793485226,,
2020-03-18,14.859999656677246,16.0,13.729999542236328,14.449999809265137,4296600,0,0,-618058.736236159,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.20840899119106282,,,,,0.0,,,,,,,,,,,,-676518.8784434043,,
2020-03-19,14.289999961853027,16.3700008392334,14.270000457763672,15.6899995803833,2981100,0,0,432420.89755296987,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,0.4535060244291766,,,,,0.0,,,,,,,,,,,,-60919.154302646115,,
2020-03-20,15.960000038146973,16.850000381469727,15.489999771118164,15.84000015258789,4365900,0,0,-1686323.249974771,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.47617406413923696,,,,,0.0,,,,,,,,,,,,297556.70008610934,,
2020-03-23,15.800000190734863,17.5,15.359999656677246,17.049999237060547,4008900,0,0,636588.1807459258,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,0.7100880453890723,,,,,0.0,,,,,,,,,,,,347974.3480825906,,
2020-03-24,18.110000610351562,18.84000015258789,17.31999969482422,18.549999237060547,2723300,0,0,2320731.26573083,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.9905363004339074,,,,,2.0,,,,,,,,,,,,545821.702993252,,
2020-03-25,18.65999984741211,20.290000915527344,17.75,19.760000228881836,4092000,0,0,4705044.629481607,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,1.1762571400467166,,,,,0.0,,,,,,,,,,,,506504.2709672201,,
2020-03-26,20.420000076293945,21.239999771118164,19.040000915527344,19.790000915527344,3491000,0,0,3594273.140370406,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,19.790000915527344,,1.1120338853319924,,,,,0.0,,,,,,,,,,,,272217.9724453405,,
2020-03-27,18.940000534057617,19.190000534057617,17.760000228881836,17.959999084472656,2440300,0,0,1836570.4874224195,0.0,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,19.764265946684574,,0.6925816796148887,,,,,0.0,,,,,,,,,,,,-220356.83977702446,,
