Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,95.35307195076417,105.15774035224362,93.06107562134746,105.12835693359375,3063400,0.9,0,3048517.6887688534,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6658569829148907,,,,,0.0,,,,,,,,,,,,-644129.5307719308,,
2020-03-16,89.9560949621043,106.32333157696328,86.48871707762595,95.5489730834961,3687200,0.0,0,2729870.775188608,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.4038854868527664,,,,,0.0,,,,,,,,,,,,-979372.5634866203,,
2020-03-17,97.26307743259851,106.72491945931841,95.10820120892689,105.8923568725586,3420600,0.0,0,5660166.452937415,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.7051282216088101,,,,,1.0,,,,,,,,,,,,34306.62742365681,,
2020-03-18,99.46692786189793,107.2930284748858,96.58723311088829,106.18621063232422,3937200,0.0,0,8783272.205556566,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6988628499181956,,,,,2.0,,,,,,,,,,,,381213.19851051306,,
2020-03-19,104.92266964282187,106.92082439116797,98.5560029588061,100.50518035888672,3098100,0.0,0,7129015.699890353,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.47896140303486473,,,,,0.0,,,,,,,,,,,,-154824.51229278094,,
2020-03-20,100.29948184445327,100.29948184445327,88.15384015125693,88.48686218261719,3946300,0.0,0,3399123.34232775,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.0549147240363014,,,,,1.0,,,,,,,,,,,,-637645.3035992563,,
2020-03-23,88.13425990439848,88.69256729909578,80.81748946085868,83.66779327392578,3411500,0.0,0,2457138.3510721363,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.08199994738946798,,,,,0.0,,,,,,,,,,,,-657688.1276657765,,
2020-03-24,88.30076879429483,91.1216891192852,85.69532936684821,87.66410064697266,3037100,0.0,0,1623856.5745803053,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.10986909961604453,,,,,0.0,,,,,,,,,,,,-40729.153883016,,
2020-03-25,88.72194422311085,93.70753002634876,87.01763127111573,91.08250427246094,4559500,0.0,0,2605184.3591968664,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.2842495753660463,,,,,0.0,,,,,,,,,,,,322858.69123317127,,
2020-03-26,92.7770227774999,99.93707135495795,91.10210067060545,99.26122283935547,2229900,0.0,0,4493923.158150408,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,99.26122283935547,,0.6699757780816121,,,,,0.0,,,,,,,,,,,,378027.7029072755,,
