Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-12,,,,,,0.52,0,,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
2020-03-13,23.006248604090107,23.926877546315577,20.42468998210745,22.93981170654297,775100.0,0.0,0,338187.51694129326,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.5727191151553117,,,,,0.0,,,,,,,,,,,,,,
2020-03-16,18.792229766756435,21.155496709402236,18.792229766756435,20.89923858642578,720000.0,0.0,0,902042.7791517625,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.42206023773632007,,,,,0.0,,,,,,,,,,,,,,
2020-03-17,21.630049028224967,22.066635353384047,20.244358296951873,21.62055778503418,698000.0,0.0,0,1258314.1253126787,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.5545267983514238,,,,,0.0,,,,,,,,,,,,-39955.544520225536,,
2020-03-18,20.320288097779205,20.79483943459847,18.982053472770463,20.747385025024414,776900.0,0.0,0,1994539.3500502906,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.4363972654570843,,,,,0.0,,,,,,,,,,,,-7285.191830002568,,
2020-03-19,20.367741516568085,22.50322242837467,19.304747587553113,21.971725463867188,593500.0,0.0,0,2390793.184841021,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6732685086667801,,,,,0.0,,,,,,,,,,,,3647.440579935639,,
2020-03-20,22.07612771355561,22.49373338373215,20.064029312041047,20.76636505126953,893400.0,0.0,0,2013889.6230183698,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.43496436839266694,,,,,0.0,,,,,,,,,,,,-13988.080028413031,,
2020-03-23,20.434180955202276,21.430738025738187,19.504058971063145,20.567054748535156,523600.0,0.0,0,2068055.377759727,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.4092006806256505,,,,,0.0,,,,,,,,,,,,-54036.96050753892,,
2020-03-24,21.516154948961148,23.680109421502213,21.506663706198797,23.60418128967285,552200.0,0.0,0,2581673.7705900995,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,0.9897990303823757,,,,,0.0,,,,,,,,,,,,76517.71392378389,,
2020-03-25,23.888910452834963,26.31861239227999,23.186574806677783,24.828521728515625,618900.0,0.0,0,2611681.0216376963,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,1.1413407126811304,,,,,0.0,,,,,,,,,,,,113645.21545310729,,
2020-03-26,24.676664369488268,26.745708056265375,24.676664369488268,26.12879180908203,571900.0,0.0,0,2842539.9851251,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,1.3322319894320431,,,,,0.0,,,,,,,,,,,,62052.53374112449,,
