Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,11.638550817306422,11.697982130733543,10.410312489680289,11.27206039428711,3046600,0.0,0,1031155.7883987753,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.5564101943367893,,,,,0.0,,,,,,,,,,,,-520619.2140215999,,
2020-03-16,9.241504644534082,10.370692056510272,9.013686653623164,9.716952323913574,4378700,0.0,0,1190962.9807047723,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.23657935059331742,,,,,0.0,,,,,,,,,,,,-1135452.1504896102,,
2020-03-17,9.915054635846342,10.469742465407334,9.70704646360381,10.07353687286377,3352800,0.0,0,1060335.4878666298,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,0.39874011532367054,,,,,1.0,,,,,,,,,,,,-481052.89434094896,,
2020-03-18,9.915054318686066,10.707466423054361,9.32074500425269,9.67733097076416,2878200,0.0,0,-337645.4646765145,0.0,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.2806473054706975,,,,,0.0,,,,,,,,,,,,9834.716795751476,,
2020-03-19,10.539079377741121,10.895664418648762,10.232019328488043,10.727276802062988,3728800,0.0,0,1498927.0359142018,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.7020567792279099,,,,,0.0,,,,,,,,,,,,291354.1036666666,,
2020-03-20,10.756991909464508,11.034336772826299,10.024011080498333,10.509363174438477,3643100,0.0,0,1356057.1634073055,0.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5852473449903395,,,,,0.0,,,,,,,,,,,,330551.7825538721,,
2020-03-23,11.153198788247758,11.192819349260255,10.648035926866907,10.6678466796875,2625100,0.0,0,-1078122.1694370413,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6344164682943578,,,,,0.0,,,,,,,,,,,,-34418.755920883916,,
2020-03-24,11.470162388818302,11.539498129067992,10.826328086026173,11.232439041137695,3354400,0.0,0,-612231.0590146978,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.8799142690000777,,,,,2.0,,,,,,,,,,,,217117.62798637227,,
2020-03-25,11.133387758627803,11.608835423585825,10.826328654572256,11.440447807312012,2455700,0.0,0,786584.8713308629,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.9514940405428489,,,,,0.0,,,,,,,,,,,,223006.60825839295,,
2020-03-26,11.925799835023073,12.579539544019815,11.846558715425203,12.520109176635742,3260400,0.0,0,3518275.900345768,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,12.520109176635742,,1.452483152232866,,,,,0.0,,,,,,,,,,,,353167.51090900344,,
