Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,79.01181361484502,80.21734775896431,70.24699355730957,75.30628204345703,2399700,0.0,0,35674.77900095345,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5024777249240148,,,,,0.0,,,,,,,,,,,,-1030850.3303938496,,
2020-03-16,69.8418560520884,73.81418239140172,66.07703856627654,66.56122589111328,2245300,0.0,0,-1928605.2929667942,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.19075515531938814,,,,,0.0,,,,,,,,,,,,-1293970.424692916,,
2020-03-17,67.84581918666893,70.21735346084851,63.13237860805128,69.74304962158203,3537800,0.0,0,1135518.4675488914,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,,,,,,,,0.44871827065000097,,,,,1.0,,,,,,,,,,,,-91621.54812709952,,
2020-03-18,66.13632886572093,72.09482252340935,63.42882253099256,71.65016174316406,2190000,0.0,0,3100776.462104786,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5862376588815643,,,,,0.0,,,,,,,,,,,,229002.50450267177,,
2020-03-19,70.9584623593966,79.3280248609536,70.65214080472686,75.4841537475586,2291000,0.0,0,3361710.439157508,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.7543780293641923,,,,,0.0,,,,,,,,,,,,182476.3360705427,,
2020-03-20,74.92091286385669,78.54739155197035,73.65609253418724,75.00984954833984,2447300,0.0,0,2269081.0608841875,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.6949644260464067,,,,,0.0,,,,,,,,,,,,107213.55542986463,,
2020-03-23,75.46438403909912,78.95252301982389,73.92287786683957,77.13433837890625,2057700,0.0,0,2839090.211204126,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.8030240691118734,,,,,0.0,,,,,,,,,,,,42902.22786307141,,
2020-03-24,79.69364013513822,83.63632392781226,77.7371159936824,79.07110595703125,2012000,0.0,0,1737038.7453894322,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.8798523712361707,,,,,2.0,,,,,,,,,,,,108799.16831761666,,
2020-03-25,79.13039402646665,81.74897120077706,74.94066753200066,76.01774597167969,1648600,0.0,0,610058.1096367296,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6393550747807156,,,,,0.0,,,,,,,,,,,,-13141.951914384248,,
2020-03-26,76.77861578076104,82.88533248079061,76.77861578076104,82.49008178710938,1529600,0.0,0,1941654.6682614686,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,82.49008178710938,,1.050823096913359,,,,,0.0,,,,,,,,,,,,66572.56654904256,,
2020-03-27,82.01576557945803,84.71339588492067,81.43276556329928,82.11457824707031,1578400,0.0,0,1019331.7233149093,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,82.47620874675259,,0.9968236787814632,,,,,0.0,,,,,,,,,,,,123048.82192296181,,
2020-03-30,83.09284399408749,85.47426945540126,81.17585394433061,84.53553771972656,1234800,0.0,0,1714795.3356503334,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,82.9592899857067,,1.1444772781546357,,,,,0.0,,,,,,,,,,,,29220.194873482746,,
2020-03-31,83.77466219536491,85.76082936213997,83.09284192790696,83.54739379882812,1663900,0.0,0,617861.1678887107,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,83.06151874995648,,1.0465753475755346,,,,,0.0,,10.943458542562746,,,,,,,,,,16955.752942319014,,
2020-04-01,81.71931897103786,86.21536690848215,80.04936455509493,83.00390625,1752700,0.0,0,544831.3761932573,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-1613394.3650957958,,83.05353965092465,,0.9669984724879342,,66.50270869878312,,,0.0,,24.703091234805537,63.9264454256758,,,,,,4.0809840638798995,,-491590.4761904762,-30851.045009093257,,-13.912672903023598
2020-04-02,82.02565665627249,85.68177846684291,81.26478321389997,83.15213775634766,1537000,0.0,0,321332.41734077025,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,174.85675489661577,-1350362.0521883469,,83.06323583702097,0.0,0.9546520971841227,,68.52642817777067,,,0.0,,19.22641497256262,64.19334615892447,,,,,,4.104353715547506,,-329235.7142857143,-8656.727473643885,0.19485995736558126,-13.270505154123907
2020-04-03,82.82604618074517,83.91300066354181,78.28059536428044,78.5572738647461,1471700,0.0,0,-1005780.0654261586,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,240.01369635904743,-2123490.5003428715,,82.94962052001983,7.890422046399124,0.5655839026322405,,69.72342879484232,,,0.0,,9.640050983194074,51.47867807863258,,79.88015723525616,,,,3.284140285967876,,-338045.2380952381,-78579.12820585848,0.2753783697519977,-33.17635023708396
2020-04-06,81.61062256153764,87.32208814258856,81.06714912873316,86.91694641113281,2515700,0.0,0,1184028.6504012742,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,341.8169623796521,1184212.1746982622,,83.23540029520896,22.73406816331311,1.216000091043714,,80.98116536327419,,,0.0,,15.145950634631037,65.04417861033866,,83.95250437885123,,,,2.6243816087548955,,-10704.761904761894,186384.26266894356,0.4238583796852555,-1.6956314722384256
2020-04-07,88.95251754903454,89.67386434796815,84.69362899355896,85.4643783569336,2934800,0.0,0,-842382.4600538788,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,347.32593802509507,406039.474675101,,83.32458245542142,33.550733276712094,1.0641511963611587,,81.88676745896083,,,0.0,,13.937541364959497,61.81049641259672,,80.99937698217657,,,,2.3244850489641045,,402028.57142857136,218661.4391116567,0.49180515766742805,-22.129887344147892
2020-04-08,86.07703286695805,90.1284127422724,84.20944546664334,89.62445831298828,2432200,0.0,0,1175651.3836466433,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,151.54692267410556,1793483.331023831,,84.06189639485456,47.85962560522097,1.3691666931699118,,82.23050795153048,,,0.0,,16.192684343420353,66.8877359281974,,91.03835985861265,,,,2.3244850489641045,,712109.5238095236,69343.43465278472,0.3195487742008978,-3.059401607775714
2020-04-09,91.19559926561782,91.19559926561782,86.78848814634422,87.18374633789062,1986800,0.0,0,-454770.5021142801,0.0,,,0.8122504626026742,114.88477038811126,-0.0109670461358256,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-3.6106716156005803,0.8570423196724039,164.56267906537303,844527.6334312805,,84.15796224203295,55.19979846284144,1.1368570279345662,,82.1516168266184,,,0.0,,10.259930328112445,61.704510612801506,,83.86139539980518,,,,2.429970349570067,,568702.3809523808,64284.37953694987,0.3403780563582094,-23.22652484866086
2020-04-13,87.11457799000888,88.8240589504079,85.40508949068679,88.6066665649414,1417500,0.0,0,782468.3343806823,0.0,,,0.8317522205380478,96.52855195816102,0.018446270090990417,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.1966449737548857,0.9077464154144271,126.3513412246025,1012022.1746331665,,84.3576365628796,73.46241789926674,1.245667480406399,,76.12619683033105,,,0.0,,16.560502330537012,63.481228427098024,,85.92900457500706,,,,2.44885121049077,,108664.28571428568,-30970.91457334909,0.28805651730841053,-15.927059818542238
2020-04-14,88.51774190485514,92.4505419427158,88.37940265963935,91.85765838623047,1361100,0.0,0,1747131.979531934,0.0,,,0.9358285065757473,130.10130214480046,0.0928202419281205,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5563198089599553,0.9797776023785114,107.87656365594137,1499579.716536506,,84.73953778606408,94.37309751846652,1.4683880807802843,,75.70405253656415,,,0.0,,11.356003529366063,67.22286676450554,,85.82013995019967,,,,2.44885121049077,,-201876.1904761903,73073.88702645057,0.27136155136957507,-3.385995482197855
2020-04-15,87.74699621091287,90.85963689785191,87.25292530328143,89.66398620605469,1341100,0.0,0,2199063.49420966,0.0,,,0.823344456711417,103.77452207431989,0.02843406774857085,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.9812324523925753,0.9039837820382381,150.85827845763257,865077.7911978995,,84.92381358566188,111.04244702571035,1.189398346703409,,75.9967052548966,,,0.0,,9.193748686462653,62.564694862226986,,87.6354626250453,,,,2.3106564693852762,,-395145.2380952381,17911.869228397485,0.30826127791054814,-17.780556824123956
2020-04-16,90.86952016174453,91.03750246050734,88.59679851662601,90.1185302734375,1355400,0.0,0,2533794.9239989812,0.0,,,0.8238530469245674,110.22544897822878,-0.015504303831514528,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.06967010498047443,0.8930191414261933,118.23583050308402,829507.9680168659,,85.16382615087558,116.96662082191796,1.1733060823198593,,75.97862320874053,,,0.0,,6.604314237902025,63.134734166819705,,87.45866637753322,,,,2.3654114418388943,,-403402.38095238106,-25156.00615794913,0.3069098797417731,-16.457448561078497
2020-04-17,92.01577216543025,92.87545075356367,89.33790864555924,91.62051391601562,1311200,0.0,0,2914703.1388243157,0.0,80.0,,0.8614212061614815,120.86773612355422,-0.012560089361558639,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,-1.2806354522705021,0.9347045399110752,94.96859926162797,992349.8228928047,,85.52175716691966,118.27441586055203,1.2843311799575863,,75.85368254647938,,,0.0,,9.662922743738223,65.02968050857366,,85.72116898971575,,,,2.3632881250762807,,-400950.0,28724.538504459684,0.24595402443139724,-8.598487645650293
2020-04-20,90.33591552307001,93.24105463381125,89.36754084543837,92.32208251953125,1581800,0.0,0,3745954.5827657534,0.0,96.0,,0.8665313762780739,115.16299788070093,0.042531779803063205,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,-1.9980155944824247,0.9524296663517872,92.15978404146259,1009120.0220568349,10.538533429296024,86.52480525911858,114.85204890302718,1.2828344144332693,,76.32192316660925,,,0.0,,11.226190056002636,65.9110990302364,,89.60046354861747,,,,2.3632881250762803,,-345502.38095238106,33965.817950861645,0.2458890088708382,-6.1426731474188
2020-04-21,90.35569538359012,93.32012100600267,90.3359283243098,92.02565002441406,1511900,0.0,0,3946202.899501396,0.0,92.0,,0.8229428853989323,108.56703054158555,0.03239236379614113,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-7.337445068359372,0.9295696695541219,86.92471045147536,800934.8347104762,10.538533429296038,86.83275877314958,100.97512926566993,1.1839581394807894,,76.31025824070312,,,0.0,,10.67141808676954,65.16374061992522,,92.21723760309675,0.8692135755189504,,,2.3441199529192787,,-282478.57142857136,7257.879861840095,0.22697002639426211,-8.607126397640618
2020-04-22,92.99403103722672,95.25687680104242,91.53157776746504,94.29837799072266,2055500,0.0,0,4943965.366565515,22.07977052849347,96.0,,0.8970964841425643,127.19868347257527,0.0937103247698415,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.26086387634276775,0.9528209816296612,139.72803625665634,1353885.9061443103,11.136355441317747,87.74229931461191,92.43332244285807,1.3808098497530696,,83.4687508863681,,,0.0,,20.037742339529743,68.14597027014905,,93.20136488597286,1.0,,,2.2935606530170287,,-56007.14285714296,45909.53795773197,0.32693258196977215,-5.64610579702188
2020-04-23,94.26871969089102,96.10666385606541,92.0058742931457,93.9525146484375,2374900,0.0,0,4823790.272025395,23.127577688057283,88.0,,0.8637295942148477,123.79997262706432,0.12057148227047806,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-2.088442611694333,0.8885480210295893,140.89551785939702,1043132.0836104063,10.988133479847107,88.09894544159145,82.65742918552331,1.2725296575878644,,84.15720641249712,,,0.0,,8.094587451364413,67.20312420479956,,91.22083454519571,0.9434313591844639,,,2.2536061883881704,60.230025119717695,148509.5238095238,42053.47308593505,0.3388702434637364,-12.084264169750252
