Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,7.610000133514404,7.739999771118164,6.769999980926514,7.170000076293945,2982200,0,0,-522652.4898524606,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.4707904405107829,,,,,0.0,,,,,,,,,,,,-1989859.0306920903,,
2020-03-16,6.559999942779541,7.349999904632568,6.400000095367432,7.119999885559082,1358500,0,0,178047.32352849626,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5147569127536004,,,,,0.0,,,,,,,,,,,,-2056585.9073629184,,
2020-03-17,7.139999866485596,7.309999942779541,6.53000020980835,6.610000133514404,3242700,0,0,-2399483.852340112,0.0,,,,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.2833333539374132,,,,,1.0,,,,,,,,,,,,-241745.47810259476,,
2020-03-18,6.5,6.659999847412109,5.139999866485596,5.429999828338623,2938200,0,0,-4216528.722591778,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.09518183468587862,,,,,0.0,,,,,,,,,,,,-756791.8848828701,,
2020-03-19,5.510000228881836,6.809999942779541,5.5,5.960000038146973,2225500,0,0,-4879081.959824827,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,,,,,,,,0.2257383913489601,,,,,0.0,,,,,,,,,,,,-307297.93537224305,,
2020-03-20,6.010000228881836,6.559999942779541,5.909999847412109,6.190000057220459,1505100,0,0,-5087479.639975713,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.345199597008261,,,,,0.0,,,,,,,,,,,,275304.73070885666,,
2020-03-23,6.210000038146973,6.460000038146973,5.900000095367432,6.409999847412109,1476800,0,0,-3874394.9586264337,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.46735898382642266,,,,,0.0,,,,,,,,,,,,110569.90950462574,,
2020-03-24,6.869999885559082,6.949999809265137,6.139999866485596,6.300000190734863,2054500,0,0,-5117238.93543684,0.0,,,,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.4090508817509416,,,,,0.0,,,,,,,,,,,,17230.665874434082,,
2020-03-25,6.340000152587891,6.550000190734863,6.010000228881836,6.380000114440918,1538200,0,0,-4547535.734799644,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,,,,,,,,0.458796933247153,,,,,0.0,,,,,,,,,,,,-15723.841870942924,,
2020-03-26,6.420000076293945,6.710000038146973,5.820000171661377,6.039999961853027,2825700,0,0,-5976261.5765914805,0.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,6.039999961853027,,0.284149920591737,,,,,0.0,,,,,,,,,,,,-131053.2791034226,,
2020-03-27,5.929999828338623,6.539999961853027,5.570000171661377,6.5,1913700,0,0,-4220392.388045603,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,6.0538087647048195,,0.5512562863438617,,,,,0.0,,,,,,,,,,,,-4840.581051629939,,
2020-03-30,6.610000133514404,6.730000019073486,6.110000133514404,6.349999904632568,1311500,0,0,-4516538.330237547,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,6.064079010358463,,0.46799111022650863,,,,,0.0,,,,,,,,,,,,115479.97338770115,,
2020-03-31,6.409999847412109,6.829999923706055,6.300000190734863,6.449999809265137,1271400,0,0,-5068279.420485772,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,,,,,,6.067406273018631,,0.520120010621585,,,,,0.0,,-10.041844621582834,,,,,,,,,,-10243.375407314972,,
2020-04-01,6.320000171661377,6.760000228881836,5.960000038146973,5.989999771118164,1661500,0,0,-6605168.059366349,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-201608.6674110482,,6.064601928959631,,0.25714269419008456,,46.24899267234458,,,0.0,,-15.870788379263958,37.81032576066326,,,,,,12.93166225411162,,-607021.4285714286,-98472.55852370834,,-67.30769477652383
2020-04-02,6.019999980926514,6.239999771118164,5.650000095367432,5.78000020980835,1810700,0,0,-7617931.32518543,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-4.85724561871537,-227128.3157328529,,6.061130465261226,0.0,0.1465172907577636,,43.35862642287605,,,0.0,,-12.556730816051592,34.95423210089726,,,,,,13.875443724201043,,-356942.85714285704,-181974.75729004122,-0.2260569606939261,-71.04070894680267
2020-04-03,5.579999923706055,6.059999942779541,5.309999942779541,5.400000095367432,2095100,0,0,-9210206.472687058,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,-3.6239612413125086,-308415.4477374692,,6.018464329591619,6.282477395423939,-0.05589125239842659,,42.79167699199432,,,0.0,,-0.5524812876535615,30.469132078367764,,24.544391074415255,,,,14.711510918617654,,-134990.4761904762,-201220.34520638356,-0.2089552538731091,-88.01842305342774
2020-04-06,5.849999904632568,6.119999885559082,5.75,6.099999904632568,1494200,0,0,-7877541.503733033,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,-3.2590920283906177,-114936.13877440692,,6.0197783082075995,15.285250901575864,0.3747243923493258,,51.91739777658357,,,0.0,,2.348991033381321,44.57699714181426,,31.326515272408425,,,,14.65524892006059,,-65864.28571428568,55952.3615044826,-0.17387470839490204,-46.961322182544336
