Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,80.87000274658203,88.48999786376953,75.93000030517578,88.43000030517578,734500,0,0,727482.7682558812,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6650743744624191,,,,,0.0,,,,,,,,,,,,-112869.49869223444,,
2020-03-16,78.0,83.13999938964844,65.20999908447266,66.79000091552734,1035500,0,0,-125519.5331149844,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.13239315030959228,,,,,0.0,,,,,,,,,,,,-368734.69488337444,,
2020-03-17,67.95999908447266,70.37000274658203,58.45000076293945,61.0,1194000,0,0,-808664.0662738829,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.07238858066186851,,,,,1.0,,,,,,,,,,,,-356908.0741015016,,
2020-03-18,54.61000061035156,55.599998474121094,30.100000381469727,36.810001373291016,1615500,0,0,-1573967.4064230584,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.3310018048239003,,,,,0.0,,,,,,,,,,,,-744145.8324903499,,
2020-03-19,37.43000030517578,44.97999954223633,35.52000045776367,41.29999923706055,1174500,0,0,-1313243.4691550755,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,-0.10880621936196333,,,,,0.0,,,,,,,,,,,,-497375.64357311476,,
2020-03-20,43.06999969482422,51.43000030517578,42.34000015258789,48.810001373291016,1480500,0,0,-686188.6514526983,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.17977487976176915,,,,,0.0,,,,,,,,,,,,412477.25101145834,,
2020-03-23,48.470001220703125,50.91999816894531,43.13999938964844,43.84000015258789,967600,0,0,-1479670.182431183,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.03671475591202024,,,,,0.0,,,,,,,,,,,,170690.14811723074,,
2020-03-24,47.380001068115234,57.720001220703125,45.0,51.970001220703125,1321000,0,0,-1352970.3822829137,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.3597451135914766,,,,,0.0,,,,,,,,,,,,146451.2841837178,,
2020-03-25,54.70000076293945,58.97999954223633,47.16999816894531,53.63999938964844,1150300,0,0,-1242907.716956505,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.4315202814981317,,,,,0.0,,,,,,,,,,,,281939.2351081449,,
2020-03-26,54.68000030517578,69.37999725341797,53.63999938964844,62.06999969482422,1254400,0,0,-1153649.0361439502,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,62.06999969482422,,0.7229450095157334,,,,,0.0,,,,,,,,,,,,234103.66483295488,,
2020-03-27,58.209999084472656,66.06999969482422,56.09000015258789,60.439998626708984,1109200,0,0,-1295911.4552201894,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,61.96395345410651,,0.6496642946187223,,,,,0.0,,,,,,,,,,,,168011.6959199005,,
2020-03-30,59.16999816894531,59.72999954223633,46.56999969482422,56.93000030517578,982800,0,0,-731324.1120728032,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,61.85227360115148,,0.5227085498256763,,,,,0.0,,,,,,,,,,,,-86203.58038643248,,
2020-03-31,56.380001068115234,59.439998626708984,54.66999816894531,55.58000183105469,786800,0,0,-1217918.3206111665,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,61.77067974277677,,0.4691438634551919,,,,,0.0,,-37.14802483405442,,,,,,,,,,-75732.85074062011,,
