Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,16.861107022353703,17.43481265259874,15.159438220193097,15.947067260742188,17399900,0.24,0,-5353824.112471603,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.4487178651173129,,,,,0.0,,,,,,,,,,,,-8336183.36902697,,
2020-03-16,15.071925088705378,15.295572564255213,13.22439915844363,13.234122276306152,18695600,0.0,0,-23873891.22681315,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.0824012189265352,,,,,0.0,,,,,,,,,,,,-11622164.945143644,,
2020-03-17,14.050922894933846,14.050922894933846,11.872786944477289,12.38814926147461,21756300,0.0,0,-35334803.39765713,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.06284144860625555,,,,,1.0,,,,,,,,,,,,-4571272.0003186315,,
2020-03-18,11.717205520607159,11.921405816653243,9.821060444371193,11.872786521911621,19626400,0.0,0,-16617036.557621859,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,,,,,,,,0.11837644478501386,,,,,0.0,,,,,,,,,,,,-2207224.6338668596,,
2020-03-19,11.814443495243202,12.854893091824234,10.98791917211794,12.271463394165039,14490700,0.0,0,-11183029.45582806,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.2734012489905437,,,,,0.0,,,,,,,,,,,,-329899.24588884617,,
2020-03-20,12.495112228483972,12.942408098610315,11.444939477289251,11.639415740966797,18495100,0.0,0,-24874211.840286396,0.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.15450132316476592,,,,,0.0,,,,,,,,,,,,-466015.1491903908,,
2020-03-23,11.571347405097926,11.658861948416453,10.511451623062165,10.968470573425293,21613200,0.0,0,-29270132.616416022,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.028497134797423187,,,,,0.0,,,,,,,,,,,,-2198475.3540923283,,
2020-03-24,11.668586860268803,14.42042852062865,11.52272989544983,14.34263801574707,24294700,0.0,0,-6279844.995622575,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,0.8787144962861676,,,,,0.0,,,,,,,,,,,,6227762.374377984,,
2020-03-25,14.751039022790044,15.742869377441657,13.788380803747707,14.332914352416992,19993600,0.0,0,-15132744.451031897,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.8273875093187434,,,,,0.0,,,,,,,,,,,,7460083.902530469,,
2020-03-26,14.439876518019188,14.439876518019188,12.903512665445527,13.60362720489502,23227100,0.0,0,-17190861.08552716,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,13.60362720489502,,0.6323870905043076,,,,,0.0,,,,,,,,,,,,-1195395.7385183773,,
2020-03-27,13.204951459547352,13.204951459547352,11.9311311755277,12.436769485473633,15405700,0.0,0,-20366088.37401885,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,13.527335065379447,,0.3416707301515892,,,,,0.0,,,,,,,,,,,,-2503272.36437105,,
2020-03-30,12.61179776109507,13.817551501663727,11.931130386731214,13.700865745544434,15460100,0.0,0,-6818576.654440459,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,13.528860901274752,,0.6734533880860369,,,,,0.0,,,,,,,,,,,,249961.77992059803,,
2020-03-31,13.68141790066511,14.478771972751678,13.477217591968499,13.623075485229492,16262900,0.0,0,-18344694.75257441,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,13.530942604771417,,0.6414204728177372,,,,,0.0,,-14.57316092993349,,,,,,,,,,1479056.28504328,,
2020-04-01,13.039643794551768,13.185501665751092,12.339528423868177,12.427042961120605,14039600,0.0,0,-29479547.80224654,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-8547708.889907228,,13.519997274626112,,0.3151005192422068,,39.0559885577462,,,0.0,,-6.098472557039235,39.776051028507744,,,,,,19.78081195795414,,-3371578.571428571,-1324938.0112025968,,-65.77269071177093
2020-04-02,12.397872543971037,13.555006906713874,12.174225092220631,12.407596588134766,13340000,0.0,0,-38310253.54182479,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,-1.4388773278296383,-7363666.850724925,,13.513990374016466,0.0,0.31382095627544476,,42.18999487243425,,,0.0,,0.15698330920692635,39.68045334258701,,,,,,20.106766287854537,,-3788285.7142857127,-1253476.1366913738,-0.24023793835006935,-56.321857510143424
2020-04-03,12.33953056835664,12.757655240190472,11.590796704486563,12.086711883544922,12254700,0.0,0,-40148452.21136944,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-0.29640980147061796,-6873478.12766953,,13.501103334956008,5.6896708533913625,0.23189728476991767,,43.66466759361864,,,0.0,,1.801812584084574,38.05515066932663,,38.7216334269136,,,,20.031991583119776,,-4664288.095238095,-337805.5074577065,-0.1459073694611368,-61.74055149734481
2020-04-06,12.757653901824437,13.77865536120625,12.582624815263014,13.555006980895996,17272700,0.0,0,-29335472.478025995,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,1.1296669016232264,-2268492.576857326,,13.503863980576059,20.46052017750901,0.6630555950040531,,51.655895379477734,,,0.0,,10.459580455100975,48.458310889610495,,48.33058173329808,,,,19.17966744823875,,-3266330.9523809534,1781359.0078067225,0.04235582557851636,-36.9458457926175
2020-04-07,14.332913423947938,16.209611369118875,14.216227671077569,14.284294128417969,20200900,0.0,0,-48156804.96231011,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,4.160180310362422,160185.89674752275,,13.507638874332413,30.87418081539414,0.8468785023515859,,59.705254197719256,,,2.0,,22.72346349947873,52.706747687972396,,55.84173287329005,,,,17.92336951976193,,-1020400.0,3185139.315991684,0.3468650059775725,-33.788404090167546
2020-04-08,14.7121427325483,15.7136961344875,14.410703843846793,15.363638877868652,16587800,0.0,0,-40481843.20863139,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,3.109159413141957,2695010.030774741,,13.544854297708275,46.07631555135009,1.143414419977664,,60.64737501634295,,,0.0,,40.07093126631612,58.19847480974943,,71.47311142501788,,,,16.831548520067248,,274173.8095238097,2340251.248626449,0.25214901175402027,-14.846415842161317
2020-04-09,16.258230701777176,16.66663132471841,15.64563069470131,16.102649688720703,15991700,0.0,0,-42157174.674093805,0.0,,,0.9993901540061075,160.1035115233209,-0.11828323684044134,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0034990310668945,0.8250320042674255,3.450576608276195,3998299.9097930267,,13.70624220128924,63.91708925845478,1.3381067090424004,,67.73703011097393,,,0.0,,12.271185196483943,61.49532016915433,,80.73415468572911,,,,15.204689475881679,,25988.095238097012,2022622.7998107627,0.3239785815209588,-9.162716010483807
2020-04-13,16.287402190481902,16.39436482821291,15.208058259759568,15.61645793914795,11912800,0.0,0,-45867737.86618178,0.0,,,0.9238572164979129,141.28642587214384,-0.1154500428406521,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2907423496246331,0.8465908243554416,3.618473947998702,2599699.197778266,,13.906695491964703,92.77274840983398,1.219752964652662,,68.79485245966498,,,0.0,,8.955217028241783,58.240883108251495,,85.19165855258503,,,,12.73637792035431,,-2043826.1904761922,409534.89876835176,0.3873095717814522,-20.415892489599788
2020-04-14,15.95679255882561,16.17071598593858,14.945515056888741,15.820659637451172,14021400,0.0,0,-39858542.18027379,0.0,,,0.9061395227786009,120.41353444672927,-0.046165403562483484,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,-1.0054422378540036,0.8764205787868011,1.859610092187976,2637341.2684654864,,14.042597089059829,123.14670762374175,1.278042424055057,,60.83353734948724,,,0.0,,16.297362454613527,59.21710448843421,,84.58491319935807,,,,12.458095935650123,,-2165485.7142857146,-176341.83134424238,0.22838949729567293,-16.66665190184223
2020-04-15,15.13999182791026,15.315020935347468,14.585734224140445,14.780210494995117,11604500,0.0,0,-45273981.41596103,0.0,,,0.7071037143581718,70.75746950355858,-0.029572472886595032,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.13905096054077148,0.7244319191641164,0.3340985147211545,535736.505308805,,14.061523661658253,140.25607393994596,0.9241014593832414,,53.64381167378667,,,0.0,,18.842843491299448,52.48462144179294,,75.25090460995091,,,,12.357330192988837,,-3028664.2857142854,-579827.8520978682,0.0037665574894648612,-37.16474177870529
2020-04-16,14.731590426258464,14.741314471127472,13.992580635597056,14.2259521484375,11751000,0.0,0,-49699684.98282914,0.0,,,0.5959192026849055,34.57163793938242,-0.10079406576806449,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.05639758110046422,0.603475561302594,0.5854142054492417,-471238.6855065327,,14.070042629636186,145.99443230877478,0.6898197416419202,,56.389623311756544,,,0.0,,3.832505278462613,49.2709942385819,,66.02810453639808,,,,12.123570681164733,,-2262876.1904761903,-1203835.3416000411,0.055202798426321587,-48.0842927102583
2020-04-17,14.916343030743276,15.402534128604081,14.780209189501317,15.363638877868652,9142500,0.0,0,-41699995.77990677,0.0,52.0,,0.7672363075663681,74.24218795639035,-0.09451722764463537,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,-1.4070388793945305,0.7883096010179612,1.5894622008396193,1081981.2586835874,,14.181785061429748,155.39860727108896,1.0671050403299847,,62.32701164198387,,,0.0,,12.776581870417777,55.31862281298036,,63.02681973119661,,,,10.671255238889907,,-3441804.761904763,290486.85940770485,0.24098195322462612,-25.67050631744658
2020-04-20,14.6926950010204,15.567839554865728,14.439876328756412,15.0913724899292,7836200,0.0,0,-40484031.489424095,0.0,52.0,,0.6990530965018248,59.130768590045236,-0.0499973244208449,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.5990830898284916,0.7440758984883354,1.2325248222027483,622621.9547043403,1.7016694316727659,14.263184565646913,159.84302287995087,0.9137336578412866,,56.90458910165268,,,0.0,,21.439770805848557,53.66964982217815,,65.07024062132186,,,,10.12529763003543,,-4153340.4761904776,592280.6738795115,0.20855071721642515,-31.03447910832953
2020-04-21,14.741315270066437,15.07192539484321,14.449600399537752,14.73159122467041,7964100,0.0,0,-41230670.685566515,0.0,52.0,,0.6140128600655126,36.28999757988096,-0.04006021512690909,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-2.1081238269805915,0.6238185885449313,0.6113496048375943,124342.53622550284,2.085760095612933,14.277013148474845,150.41611585715654,0.710271141008196,,50.736337047610014,,,0.0,,18.730417450532304,51.48562596390493,,68.39080504776105,0.5729683522415238,,,9.619261355256267,,-4822869.047619048,-328734.74388528103,0.065390961698928,-38.12259943094074
2020-04-22,15.101095591319794,15.256676597882025,14.478771565070867,14.517666816711426,8514400,0.0,0,-48893630.685566485,6.558864746676362,52.0,,0.5666169022047597,32.749019589731404,-0.15069392503862108,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.648580169677734,0.5766283441463217,1.204296458860106,-153626.10882470847,2.085760095612933,14.278859945279075,130.38404250870397,0.6104931394429667,,51.748791967299326,,,0.0,,20.112624149468243,50.1781029778629,,62.83525195845397,0.5171870582516641,,,8.040442689050026,,-4637578.571428571,-313507.33007784607,0.18316042937231403,-42.337165585367835
2020-04-23,14.537113994293039,15.451153799820208,14.25512318776571,15.0913724899292,10601200,0.0,0,-44670383.86498355,6.091623930281547,52.0,,0.6778956777913602,43.213023699262365,-0.10804162171199908,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.042784070968627574,0.6896552089167047,1.1170557304636455,737173.1328525727,1.9496268473601823,14.286022398108065,112.6746102806263,0.8585215316771041,,51.539096981066606,,,0.0,,11.334302602709897,53.58263415206753,,62.83525195845399,0.6624305119830739,,,7.379999319872327,49.528033294357535,-3520283.333333334,295294.04557992256,0.171823346781675,-31.03447910832953
