Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,173.92999267578125,182.69000244140625,166.2899932861328,182.6199951171875,1016500,0,0,1007821.6578851144,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6652437543671281,,,,,0.0,,,,,,,,,,,,-100461.77231172363,,
2020-03-16,165.61000061035156,179.72000122070312,158.99000549316406,160.27999877929688,1066900,0,0,73704.496344337,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.1906814139507971,,,,,0.0,,,,,,,,,,,,-230918.7596605406,,
2020-03-17,164.41000366210938,177.2100067138672,153.4499969482422,176.19000244140625,1163200,0,0,1137033.411994608,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6321235230711965,,,,,1.0,,,,,,,,,,,,-15050.750350655508,,
2020-03-18,165.86000061035156,169.94000244140625,151.58999633789062,164.0,904700,0,0,1456020.2325629499,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.38438081182744555,,,,,0.0,,,,,,,,,,,,52870.4709249131,,
2020-03-19,162.4499969482422,170.6300048828125,153.10000610351562,164.60000610351562,872100,0,0,1728147.3516024034,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.4271469838786995,,,,,0.0,,,,,,,,,,,,-59402.55295122614,,
2020-03-20,167.0399932861328,170.1300048828125,156.39999389648438,157.1300048828125,1425300,0,0,454410.90968688787,0.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.24868795163586627,,,,,0.0,,,,,,,,,,,,-61493.39390561705,,
2020-03-23,159.9600067138672,159.9600067138672,148.77000427246094,151.1699981689453,1210000,0,0,-236555.67098149878,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.1161147264014219,,,,,0.0,,,,,,,,,,,,-110579.84150030742,,
2020-03-24,159.1199951171875,170.99000549316406,158.50999450683594,170.52999877929688,1563500,0,0,1211684.7354301214,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6712130079399812,,,,,0.0,,,,,,,,,,,,154338.1122003185,,
2020-03-25,165.75,172.7100067138672,164.97000122070312,166.97000122070312,825300,0,0,812896.0606372682,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.5571371255817648,,,,,0.0,,,,,,,,,,,,183004.89039570326,,
2020-03-26,167.22999572753906,177.10000610351562,166.89999389648438,175.89999389648438,900900,0,0,1501817.6874017506,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,175.89999389648438,,0.8260356138581296,,,,,2.0,,,,,,,,,,,,30953.46273845797,,
2020-03-27,171.91000366210938,178.92999267578125,169.27000427246094,173.91000366210938,795500,0,0,1470525.543634089,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,175.87234864366252,,0.7446683705343816,,,,,0.0,,,,,,,,,,,,39182.84645509508,,
2020-03-30,176.0500030517578,190.16000366210938,174.02000427246094,188.5500030517578,1031300,0,0,2296076.635053525,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,176.67989224334758,,1.1871637920611824,,,,,0.0,,,,,,,,,,,,77816.70436860454,,
2020-03-31,184.60000610351562,190.89999389648438,178.88999938964844,180.08999633789062,1121800,0,0,1398449.3564934677,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,176.7092313351306,,0.8680055865323326,,,,,0.0,,-1.3853897968146212,,,,,,,,,,36482.56169165264,,
2020-04-01,173.42999267578125,178.36000061035156,173.00999450683594,175.4600067138672,920600,0,0,1321018.950752747,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-2562990.608728484,,176.6789102205328,,0.7034193551546383,,52.49145491380759,,,0.0,,9.470930902284914,49.883978305048714,,,,,,8.769522645216743,,-33833.33333333337,-74001.77734331244,,-36.64844762699151
2020-04-02,171.72000122070312,183.0399932861328,171.72000122070312,181.8000030517578,671300,0,0,1845250.7479616806,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-61.61824198075692,-1588843.4443921326,,176.86739093848058,0.0,0.9142262444864865,,54.82060338355189,,,0.0,,3.184062961924996,53.90705051949445,,,,,,8.821562227093956,,-129176.19047619053,588.4739738951575,0.03280258822758042,-21.599793700251826
2020-04-03,180.61000061035156,184.5,179.02000427246094,182.69000244140625,666800,0,0,2071573.6264175344,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,908.1672981486003,-1277087.0104764597,,177.29307970368708,6.082355144095459,0.9364596421038605,,61.17816953580901,,,0.0,,11.396342952076981,54.45971602528439,,74.08815764835673,,,,8.235338225663126,,-252264.28571428568,27520.775308065688,0.13589321654460662,-19.487285727686505
2020-04-06,191.8300018310547,196.74000549316406,186.77000427246094,195.85000610351562,1266900,0,0,3112287.048946667,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,2057.2607105161687,1287126.653809658,,180.1558978516541,21.59444949331747,1.3971582033683863,,61.943782146377785,,,0.0,,18.985418494059548,61.76080421744107,,85.68586521535514,,,,8.181398412731564,,-144238.09523809515,94524.9616060014,0.2732757109850853,-1.8553249259963063
2020-04-07,199.4499969482422,200.0,190.9499969482422,190.9499969482422,807400,0,0,2304887.048946667,0.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,3016.4647835188166,538070.3615557392,,180.8127183278358,25.639560808924358,1.1752633277993902,,68.07517459949635,,,0.0,,21.523573483404792,58.03026202437215,,86.99731716807311,,,,7.743174088619379,,-91921.42857142852,71060.15481934941,0.3993700008779508,-17.66543784209788
