Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,9.195082535795626,9.66483159414056,8.045697576257895,8.895242691040039,4997600,0.0,0,246791.90177389898,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.508230347292497,,,,,0.0,,,,,,,,,,,,-2184777.5769730345,,
2020-03-16,7.885783037042891,7.885783037042891,6.6964189782207875,7.7258687019348145,5696100,0.0,0,4411169.066444199,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.3481614076784317,,,,,0.0,,,,,,,,,,,,-2934609.82767403,,
2020-03-17,7.795831463152791,7.795831463152791,6.496526060433223,7.246125221252441,2917700,0.0,0,4860045.495579975,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.2875101880913492,,,,,1.0,,,,,,,,,,,,-929989.4746568707,,
2020-03-18,6.7463924530634305,6.7563873373089605,4.997327743009949,5.567023277282715,5092500,0.0,0,3066097.1963711963,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.09568415835940233,,,,,0.0,,,,,,,,,,,,-1361231.7689272556,,
2020-03-19,5.646980358349986,7.116194482575769,4.747461283081282,6.756387233734131,3926000,0.0,0,5799389.415474863,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.39785604654455714,,,,,0.0,,,,,,,,,,,,-341286.7049437233,,
2020-03-20,6.656440089724348,7.396044808906103,6.646445682528774,7.3560662269592285,3384100,0.0,0,8822519.09305665,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5856506820581001,,,,,0.0,,,,,,,,,,,,1139132.0750911464,,
2020-03-23,7.116194482575769,7.336077166783519,6.0067880837739285,6.756387233734131,3538400,0.0,0,9274796.01370664,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.4029393408711225,,,,,0.0,,,,,,,,,,,,11907.363086359168,,
2020-03-24,7.106200158439745,7.6758952140808105,7.086210866602906,7.6758952140808105,3403000,0.0,0,12677796.01370664,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.7123433733847719,,,,,0.0,,,,,,,,,,,,174673.63714713522,,
2020-03-25,7.695884437441581,9.145109274173338,7.286103720141354,8.91523265838623,1863700,0.0,0,14080581.792215226,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,1.0880971508397066,,,,,2.0,,,,,,,,,,,,764039.9490294233,,
2020-03-26,8.645376118717259,8.99518942194772,8.575413839336994,8.875253677368164,2393600,0.0,0,15106411.916510748,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,8.875253677368164,,1.0579984078320335,,,,,0.0,,,,,,,,,,,,290176.21473513567,,
