Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,40.666409640364876,41.79187937191486,39.779972381828394,41.562801361083984,3936900,0.0,0,3040380.2053137524,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6287129554265953,,,,,0.0,,,,,,,,,,,,-840643.91750959,,
2020-03-16,39.09273973010833,41.811801171330224,38.176427654420294,41.19428634643555,5142100,0.0,0,6435576.913907291,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5840684818138256,,,,,0.0,,,,,,,,,,,,-886657.5161232542,,
2020-03-17,40.985127967781054,43.923305317597986,39.56583440119291,43.763946533203125,5347800,0.0,0,11392223.915511644,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.8715778519602205,,,,,1.0,,,,,,,,,,,,287998.4135127491,,
2020-03-18,40.85564771583784,42.79783551026023,39.381578012219286,40.59668731689453,3515400,0.0,0,10377569.396263555,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.4107604649582155,,,,,2.0,,,,,,,,,,,,79176.13888871981,,
2020-03-19,40.33772786286082,42.937270933040125,39.381575225378015,39.84968948364258,3666600,0.0,0,7676399.444540314,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.3157323110710856,,,,,1.0,,,,,,,,,,,,-321881.6475895571,,
2020-03-20,40.8755679750325,41.662403632990745,38.893539537800606,40.536930084228516,5471100,0.0,0,8699770.613551814,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.4329552293457485,,,,,0.0,,,,,,,,,,,,26886.472976980876,,
2020-03-23,41.26400544870955,42.887475698785956,39.70029616836939,41.09468460083008,4338500,0.0,0,8157451.00219783,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5123415639440098,,,,,2.0,,,,,,,,,,,,154047.76924628214,,
2020-03-24,43.42530736844355,44.012943581063254,41.562800918037205,42.72811508178711,3388900,0.0,0,7992145.472125286,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.7355962378677335,,,,,0.0,,,,,,,,,,,,194396.07072950352,,
2020-03-25,43.295832861017566,46.064693204296006,42.37951698806969,44.281864166259766,3127200,0.0,0,8093567.251155384,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.9202215984312907,,,,,0.0,,,,,,,,,,,,248418.2342515846,,
2020-03-26,44.102583878823225,45.168296448656534,44.102583878823225,44.86949920654297,2320100,0.0,0,9112679.53448406,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,44.86949920654297,,0.9957030662392768,,,,,0.0,,,,,,,,,,,,144504.8203637263,,
2020-03-27,43.843630047044435,44.0129471018015,41.53292565650894,42.38948059082031,3007300,0.0,0,8182714.517892418,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,44.845094462821066,,0.5738796226423105,,,,,0.0,,,,,,,,,,,,-135430.42899267905,,
2020-03-30,41.98112125734726,42.82771408578948,41.3835229672,42.140480041503906,2288100,0.0,0,8293179.997794245,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,44.81553275152611,,0.5308771226830921,,,,,0.0,,,,,,,,,,,,-179659.48160307843,,
